name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Camp Pendleton South CDP,16000US0610561,California,San Diego,"10,141,107","11,936","3,048.40","$49,851","2,944",301,"1,180",606,256,522,79,0,"11,936","7,292",940,250,102,21,16,310,"3,005","11,936","1,996",76,"1,612","1,081",120,0,0,83,"1,753",974,"2,765","1,159",122,195,0,0,22.6,"4,942",0.60%,32.10%,40.10%,21.30%,5.80%,"2,826",9.50%,"2,691",8.70%,"3,275",-$1,"2,944",
Campbell city,16000US0610345,California,Santa Clara,"15,730,368","42,221","6,951.60","$124,525","16,163","1,430","1,744","1,461","2,033","2,911","2,413","4,171","42,221","22,217","1,014",115,"8,746",7,85,"1,991","8,046","42,221","2,714","2,144","2,643","3,535","2,897","2,867","2,298","2,216","2,546","2,171","2,762","3,525","3,382","3,032","1,963","1,526",38.6,"30,829",5.40%,14.90%,25.70%,32.90%,21.10%,"10,315",3.10%,"24,383",2.10%,"17,635","$1,079,000","16,163",
Campo CDP,16000US0610508,California,San Diego,"60,870,369","3,408",145,"$53,702",947,85,334,205,72,159,92,0,"3,408","1,624",46,64,0,0,0,4,"1,670","3,408",353,232,214,163,173,163,55,104,271,415,422,156,147,310,69,161,27.1,"1,886",30.70%,24.50%,25.50%,9.30%,10.00%,651,21.50%,"1,361",5.00%,"1,198","$268,900",947,
Camptonville CDP,16000US0610676,California,Yuba,"2,204,485",339,398.3,"$98,189",117,14,6,17,57,12,11,0,339,184,0,0,0,0,0,29,126,339,55,47,4,43,10,9,22,19,6,6,7,0,43,16,39,13,40,225,6.20%,18.20%,63.10%,8.90%,3.60%,93,0.00%,161,4.30%,144,"$278,200",117,
Canby CDP,16000US0610732,California,Modoc,"5,875,336",282,124.3,-$1,16,0,16,0,0,0,0,0,282,151,6,0,74,0,0,0,51,282,0,31,0,0,0,0,0,116,0,0,0,0,26,0,0,109,77.2,251,18.70%,0.00%,24.70%,0.00%,56.60%,16,0.00%,53,0.00%,46,-$1,16,
Cantua Creek CDP,16000US0610816,California,Fresno,"9,832,915",379,99.8,"$46,053",96,20,56,20,0,0,0,0,379,3,0,0,0,0,0,0,376,379,22,0,3,36,17,42,0,25,79,55,22,20,38,20,0,0,34.5,201,69.20%,9.00%,21.90%,0.00%,0.00%,96,41.70%,116,0.00%,111,"$136,300",96,
Canyon Lake city,16000US0610928,California,Riverside,"10,131,325","11,170","2,855.50","$100,682","4,230",463,575,678,378,903,678,555,"11,170","8,771",0,33,478,21,33,340,"1,494","11,170",630,403,541,592,680,887,837,721,671,751,564,724,805,856,772,736,45.3,"8,264",5.90%,25.90%,37.80%,16.90%,13.60%,"3,165",5.80%,"5,327",3.40%,"4,635","$442,900","4,230",
Canyondam CDP,16000US0610914,California,Plumas,"1,985,597",0,0,-$1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,14,-$1,0,
Capitola city,16000US0611040,California,Santa Cruz,"4,126,220","10,121","6,352.90","$71,059","4,461",681,907,719,723,837,220,374,"10,121","6,561",58,54,373,0,0,556,"2,519","10,121",576,612,608,740,564,670,690,"1,200",506,443,531,760,462,729,564,466,42.2,"7,521",8.00%,17.60%,40.10%,20.00%,14.30%,"2,408",10.70%,"5,236",1.20%,"5,220","$721,900","4,461",
Caribou CDP,16000US0611166,California,Plumas,"419,798",0,0,-$1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,0,-$1,0,
Carlsbad city,16000US0611194,California,San Diego,"97,772,945","114,253","3,026.50","$110,478","43,531","3,577","5,260","5,368","5,043","8,155","5,714","10,414","114,253","83,741",952,171,"9,071",256,357,"3,868","15,837","114,253","6,660","7,514","5,351","6,711","8,630","9,309","6,780","7,945","6,822","7,856","5,511","5,988","8,645","8,057","6,457","6,017",42.9,"80,508",4.80%,10.40%,25.30%,34.00%,25.50%,"30,918",3.70%,"58,862",4.90%,"47,885","$814,700","43,531",
Carmel Valley Village CDP,16000US0611324,California,Monterey,"49,166,228","4,152",218.7,"$89,286","1,666",177,230,314,164,179,165,437,"4,152","3,395",20,0,41,0,0,124,572,"4,152",117,466,88,76,275,442,431,429,196,131,183,54,300,162,402,400,54.7,"3,132",6.20%,9.80%,35.00%,25.20%,23.70%,"1,012",0.00%,"2,175",7.60%,"1,982","$914,400","1,666",
Carmel-by-the-Sea city,16000US0611250,California,Monterey,"2,761,720","3,830","3,591.80","$98,188","1,927",186,300,282,210,365,206,378,"3,830","3,218",2,0,195,0,0,110,305,"3,830",111,130,36,202,249,279,353,664,12,223,73,192,165,264,356,521,59.6,"3,354",1.50%,11.30%,21.20%,36.30%,29.70%,"1,056",0.00%,"1,433",0.10%,"3,832","$1,550,600","1,927",
Carmet CDP,16000US0611376,California,Sonoma,"742,472",0,0,-$1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,22,-$1,0,
Carmichael CDP,16000US0611390,California,Sacramento,"34,838,811","64,454","4,791.60","$64,710","26,097","4,540","5,063","5,106","3,499","3,944","1,804","2,141","64,454","44,858","2,712",137,"3,110",267,96,"4,118","9,156","64,454","3,843","3,264","4,255","4,770","3,582","4,620","4,571","5,363","3,530","3,489","4,209","4,694","3,299","4,025","3,628","3,312",40.3,"46,622",7.00%,21.00%,38.50%,20.70%,12.80%,"15,811",9.80%,"32,252",5.80%,"27,705","$380,200","26,097",
Carnelian Bay CDP,16000US0611418,California,Placer,"3,364,143",451,347.2,"$77,841",229,34,19,49,22,99,6,0,451,370,16,23,0,0,0,0,42,451,0,0,30,46,0,37,45,66,0,0,35,47,0,16,61,68,60.4,405,3.00%,8.10%,34.80%,44.90%,9.10%,142,0.00%,214,0.00%,959,"$632,300",229,
Carpinteria city,16000US0611446,California,Santa Barbara,"6,702,631","13,505","5,218.50","$76,521","5,089",688,919,901,640,775,510,656,"13,505","6,671",63,0,324,0,0,288,"6,159","13,505",735,686,679,723,815,972,"1,000","1,007",915,639,978,868,837,959,896,796,42.9,"9,598",16.90%,17.20%,32.30%,21.10%,12.50%,"3,236",4.30%,"7,359",5.20%,"6,125","$705,300","5,089",
Carrick CDP,16000US0611481,California,Siskiyou,"152,301",92,"1,564.50","$14,427",74,65,0,9,0,0,0,0,92,92,0,0,0,0,0,0,0,92,0,0,0,0,0,8,0,58,0,0,0,0,0,17,0,9,80,92,0.00%,63.00%,37.00%,0.00%,0.00%,9,0.00%,17,0.00%,74,"$87,700",74,
Carson city,16000US0611530,California,Los Angeles,"48,511,577","92,079","4,916.00","$82,305","25,211","3,056","3,830","4,279","3,881","5,367","2,549","2,249","92,079","6,462","21,624",226,"24,176","2,388",95,"2,732","34,376","92,079","4,438","5,452","7,157","5,568","6,188","6,423","5,943","6,186","5,037","5,902","7,176","5,880","5,382","6,066","4,794","4,487",39.4,"64,518",19.10%,21.60%,31.00%,21.00%,7.30%,"20,501",6.50%,"47,762",6.00%,"25,864","$462,600","25,211",
Cartago CDP,16000US0611600,California,Inyo,"3,028,826",5,4.3,-$1,5,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,-1,5,0.00%,0.00%,100.00%,0.00%,0.00%,0,0.00%,5,0.00%,77,-$1,5,
Caruthers CDP,16000US0611614,California,Fresno,"5,238,364","2,559","1,265.20","$50,733",743,143,220,252,42,58,28,0,"2,559",585,0,0,83,0,19,35,"1,837","2,559",148,192,239,103,267,90,162,147,129,300,163,90,218,163,28,120,32.8,"1,534",46.30%,17.10%,22.60%,11.10%,2.70%,639,15.60%,"1,027",10.30%,743,"$168,600",743,
Casa Conejo CDP,16000US0611656,California,Ventura,"1,221,471","3,372","7,149.90","$107,045","1,078",66,140,147,116,336,163,110,"3,372","2,268",0,0,152,0,0,224,728,"3,372",275,177,160,249,238,228,157,231,185,190,196,285,147,246,282,126,39.6,"2,339",4.40%,21.50%,42.10%,22.10%,10.00%,885,3.40%,"1,837",7.90%,"1,101","$593,500","1,078",
Casa de Oro-Mount Helix CDP,16000US0611691,California,San Diego,"17,741,795","19,804","2,891.00","$100,097","6,918",788,"1,078",852,737,"1,455",782,"1,226","19,804","12,359","1,224",51,633,65,18,666,"4,788","19,804","1,099",989,"1,129","1,282","1,395","1,376","1,534","1,592","1,076","1,222",930,909,"1,375","1,228","1,308","1,360",45.2,"14,402",5.50%,15.70%,33.90%,24.60%,20.30%,"5,359",4.90%,"10,388",5.10%,"7,226","$661,500","6,918",
Casmalia CDP,16000US0611754,California,Santa Barbara,"488,123",144,764.1,"$47,404",69,22,13,24,10,0,0,0,144,0,10,0,0,0,0,0,134,144,0,0,8,0,10,16,14,49,0,0,0,0,0,10,19,18,68.6,136,39.00%,19.90%,41.20%,0.00%,0.00%,47,0.00%,69,0.00%,69,"$258,000",69,
Caspar CDP,16000US0611768,California,Mendocino,"7,748,990",608,203.2,"$105,625",230,0,38,17,54,83,23,15,608,533,0,0,46,0,0,0,29,608,51,43,0,0,0,88,39,45,65,0,24,1,39,98,42,73,53.4,425,10.40%,19.30%,28.00%,21.90%,20.50%,207,0.00%,328,0.00%,305,"$412,100",230,
Cassel CDP,16000US0611782,California,Shasta,"5,246,417",247,121.9,"$105,800",110,11,26,0,10,63,0,0,247,247,0,0,0,0,0,0,0,247,0,0,9,11,0,0,55,37,23,0,0,8,11,0,56,37,64.7,224,0.00%,28.10%,49.10%,9.40%,13.40%,84,13.10%,28,0.00%,166,"$169,700",110,
Castaic CDP,16000US0611796,California,Los Angeles,"18,807,882","19,400","2,671.50","$117,031","5,877",360,549,637,796,"1,721",916,898,"19,400","10,428",735,27,"1,966",56,203,577,"5,408","19,400","1,123","1,504","1,276","1,088","1,439","1,860",860,677,"1,472","1,700",830,"1,219","1,236","1,630","1,062",424,37.4,"12,439",8.70%,17.90%,37.10%,25.40%,10.90%,"4,920",3.30%,"9,980",5.20%,"5,979","$553,600","5,877",
Castle Hill CDP,16000US0611915,California,Contra Costa,"1,883,440","1,426","1,960.90","$204,879",487,0,30,80,13,31,60,273,"1,426","1,206",24,0,62,0,0,0,134,"1,426",103,123,2,74,124,105,109,63,105,168,1,102,105,62,117,63,42.6,924,0.00%,1.70%,18.20%,58.10%,22.00%,404,0.00%,718,5.60%,487,"$1,290,600",487,
Castro Valley CDP,16000US0611964,California,Alameda,"42,968,424","63,013","3,798.20","$108,488","22,357","2,034","3,026","2,462","2,792","4,539","3,154","4,350","63,013","27,329","5,061",284,"17,089",252,149,"3,369","9,480","63,013","3,658","3,114","3,041","4,791","4,537","4,790","4,168","4,157","4,194","3,628","3,084","4,328","4,001","4,732","4,064","2,726",42.1,"45,863",8.50%,17.90%,28.80%,28.80%,16.10%,"16,225",5.40%,"33,706",4.20%,"23,178","$741,500","22,357",
Castroville CDP,16000US0611978,California,Monterey,"2,646,281","6,521","6,382.30","$57,656","1,453",161,433,397,346,61,49,6,"6,521",535,1,0,167,0,0,10,"5,808","6,521",745,488,761,290,399,217,157,245,642,428,567,523,319,252,298,190,27.6,"3,726",56.10%,19.60%,18.90%,5.10%,0.40%,"1,270",12.00%,"2,791",8.50%,"1,601","$471,400","1,453",
Cathedral City city,16000US0612048,California,Riverside,"58,236,373","54,357","2,417.50","$46,521","18,816","5,242","4,630","3,092","2,024","2,233",748,847,"54,357","16,775","1,229",264,"3,132",139,115,852,"31,851","54,357","3,089","4,104","3,492","3,553","3,177","3,191","3,094","3,451","3,140","3,486","3,046","3,701","3,467","4,099","3,243","3,024",39.4,"37,141",21.70%,28.40%,28.30%,13.90%,7.70%,"11,532",15.10%,"24,708",6.40%,"23,620","$279,500","18,816",
Catheys Valley CDP,16000US0612062,California,Mariposa,"60,644,004",604,25.8,"$50,000",322,67,94,110,8,30,13,0,604,572,0,5,0,0,0,0,27,604,34,7,87,19,12,52,30,74,9,13,0,38,18,39,107,65,58.4,493,5.10%,20.50%,51.50%,14.80%,8.10%,148,0.00%,269,11.20%,387,"$299,300",322,
Cayucos CDP,16000US0612132,California,San Luis Obispo,"8,028,952","2,630",848.4,"$64,246","1,312",248,202,315,179,216,63,89,"2,630","2,232",0,0,43,0,47,38,270,"2,630",92,91,101,152,60,208,364,237,69,161,109,162,51,112,378,283,58.7,"2,102",1.30%,20.40%,40.90%,21.50%,15.90%,762,11.20%,"1,245",4.40%,"2,482","$770,100","1,312",
Cazadero CDP,16000US0612146,California,Sonoma,"18,431,243",340,47.8,"$49,688",137,38,31,14,18,11,10,15,340,304,0,0,0,0,0,0,36,340,4,18,22,0,20,31,53,30,4,38,29,4,25,23,18,21,53,253,6.30%,26.50%,44.70%,8.70%,13.80%,81,0.00%,146,7.50%,284,"$474,100",137,
Cedar Ridge CDP,16000US0612300,California,Tuolumne,"20,172,321","1,015",130.3,"$63,529",476,90,87,114,71,77,9,28,"1,015",889,0,11,2,0,0,16,97,"1,015",38,59,31,52,55,72,133,64,45,26,28,39,72,56,134,111,55.9,795,5.00%,27.90%,41.30%,14.80%,10.90%,316,3.50%,420,8.60%,887,"$279,200",476,
Cedar Slope CDP,16000US0612314,California,Tulare,"1,801,306",0,0,-$1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,47,-$1,0,
Cedarville CDP,16000US0612328,California,Modoc,"14,095,281",606,111.4,"$29,500",246,115,39,30,27,27,8,0,606,503,0,21,0,0,0,0,82,606,26,90,9,2,59,70,8,71,42,54,3,11,40,20,75,26,45.3,386,9.60%,31.60%,36.80%,16.80%,5.20%,117,0.00%,218,13.30%,315,"$115,900",246,
Centerville CDP,16000US0612412,California,Fresno,"21,014,853",379,46.7,"$60,250",125,36,20,11,39,14,0,5,379,203,0,7,6,0,0,0,163,379,35,14,26,40,19,5,26,17,0,44,31,40,0,6,51,25,37.5,273,20.50%,22.30%,52.70%,4.40%,0.00%,84,0.00%,159,8.80%,146,"$206,300",125,
Ceres city,16000US0612524,California,Stanislaus,"24,233,110","48,214","5,153.00","$58,667","12,975","2,294","3,045","2,856","1,826","2,028",522,404,"48,214","11,774","1,785",318,"3,227",241,154,"1,118","29,597","48,214","3,446","4,472","3,420","3,342","3,006","2,613","1,504","2,024","4,384","4,199","3,954","3,703","2,952","2,366","1,427","1,402",30.2,"28,226",26.50%,31.40%,31.80%,8.20%,2.00%,"10,902",13.40%,"21,579",11.90%,"13,393","$270,500","12,975",
Cerritos city,16000US0612552,California,Los Angeles,"22,589,571","50,143","5,749.10","$106,190","15,378","1,411","2,046","2,111","1,677","3,410","2,072","2,651","50,143","7,028","4,240",128,"29,513",248,129,"1,941","6,916","50,143","1,863","2,771","2,769","2,670","3,554","3,662","3,853","4,244","2,288","3,205","3,117","2,559","2,971","3,554","3,281","3,782",45.8,"37,018",6.30%,13.70%,27.10%,34.80%,18.20%,"13,203",4.00%,"24,048",6.00%,"16,128","$685,300","15,378",
Chalfant CDP,16000US0612594,California,Mono,"72,576,333","1,005",35.9,"$63,634",255,60,31,72,54,23,15,0,"1,005",831,0,3,0,0,0,17,154,"1,005",0,87,0,67,122,82,76,17,0,52,159,77,8,148,53,57,46,707,13.40%,34.10%,22.50%,21.20%,8.80%,155,6.50%,551,16.90%,255,"$289,200",255,
Challenge-Brownsville CDP,16000US0612612,California,Yuba,"25,135,642",719,74.1,"$59,802",350,66,37,113,49,85,0,0,719,529,8,0,0,0,0,182,0,719,23,0,0,27,0,116,111,48,0,134,31,18,59,41,64,47,54.8,531,2.40%,19.80%,60.50%,6.00%,11.30%,208,0.00%,203,3.90%,528,"$270,500",350,
Channel Islands Beach CDP,16000US0612669,California,Ventura,"1,055,660","2,904","7,124.80","$100,038","1,194",62,173,108,253,379,29,190,"2,904","2,267",13,24,53,0,0,101,446,"2,904",66,74,149,145,292,287,201,191,146,170,210,173,151,338,190,121,47.5,"2,165",2.70%,22.00%,31.40%,28.50%,15.30%,741,5.80%,"1,868",17.10%,"1,835","$909,900","1,194",
Charter Oak CDP,16000US0612734,California,Los Angeles,"2,403,064","10,048","10,829.60","$74,503","2,993",437,477,597,408,566,416,92,"10,048","2,069",389,44,"1,376",0,32,292,"5,846","10,048",789,373,631,679,842,686,565,407,604,828,774,651,724,747,440,308,36.8,"6,796",11.80%,25.10%,36.00%,20.60%,6.40%,"2,251",7.20%,"5,366",8.20%,"3,132","$423,400","2,993",
Cherokee CDP,16000US0612818,California,Butte,"4,533,846",137,78.3,"$103,438",44,0,9,0,7,28,0,0,137,137,0,0,0,0,0,0,0,137,0,0,0,9,16,20,12,18,20,7,0,0,0,7,28,0,57.5,110,6.40%,39.10%,48.20%,6.40%,0.00%,35,0.00%,51,0.00%,44,"$293,800",44,
Cherokee Strip CDP,16000US0612860,California,Kern,"234,735",214,"2,361.20","$31,250",54,8,29,17,0,0,0,0,214,39,0,0,0,0,0,0,175,214,40,30,12,0,16,17,0,8,17,14,12,6,14,17,7,4,27.5,113,77.90%,22.10%,0.00%,0.00%,0.00%,50,52.00%,64,9.40%,60,"$85,900",54,
Cherry Valley CDP,16000US0612916,California,Riverside,"20,772,775","8,115","1,011.80","$54,750","2,903",566,773,376,359,378,203,248,"8,115","5,190",298,254,142,0,91,96,"2,044","8,115",465,464,564,437,397,588,590,896,395,277,352,354,367,562,657,750,49.8,"6,131",9.60%,34.70%,36.80%,10.70%,8.20%,"1,904",10.50%,"3,306",5.10%,"3,153","$276,100","2,903",
Cherryland CDP,16000US0612902,California,Alameda,"3,103,535","16,066","13,407.50","$69,721","4,935",964,791,907,953,822,337,161,"16,066","2,825","1,984",10,"1,675",401,56,204,"8,911","16,066",949,993,968,"1,326","1,052",949,766,547,"1,344",897,"1,190","1,502","1,159","1,076",965,383,35.9,"10,683",24.60%,31.20%,25.80%,14.90%,3.50%,"3,288",12.00%,"7,932",7.60%,"5,066","$490,100","4,935",
Chester CDP,16000US0612930,California,Plumas,"18,874,561","2,145",294.3,"$57,125","1,016",223,204,194,187,136,20,52,"2,145","1,835",0,0,4,0,0,26,280,"2,145",37,112,46,88,107,144,286,202,107,51,169,91,56,231,290,128,56.1,"1,779",6.50%,30.50%,47.10%,13.50%,2.40%,601,5.80%,"1,091",1.40%,"1,267","$207,100","1,016",
Chico city,16000US0613014,California,Butte,"86,667,703","94,529","2,824.90","$53,324","36,164","9,558","7,736","5,745","4,090","4,848","2,016","2,171","94,529","66,778","1,949",382,"4,195",291,132,"3,440","17,362","94,529","4,863","6,802","12,188","5,346","4,783","4,525","4,769","5,138","5,177","6,679","12,191","5,898","4,913","4,305","3,747","3,205",29.7,"54,955",7.50%,17.00%,38.20%,24.30%,13.10%,"19,008",12.30%,"51,121",8.00%,"40,307","$327,700","36,164",
Chilcoot-Vinton CDP,16000US0613077,California,Plumas,"34,207,854",422,32,-$1,254,125,61,16,0,52,0,0,422,180,0,89,0,45,0,108,0,422,72,0,0,0,45,15,0,71,0,36,0,0,52,89,0,42,51.1,314,0.00%,4.50%,55.70%,39.80%,0.00%,68,0.00%,145,8.30%,294,"$135,000",254,
China Lake Acres CDP,16000US0613157,California,Kern,"13,493,405","2,136",410,-$1,846,285,195,92,51,138,43,42,"2,136",896,696,0,19,0,0,90,435,"2,136",243,173,13,187,63,73,99,198,210,64,83,288,45,213,63,121,33.6,"1,412",17.10%,34.10%,26.30%,21.70%,0.80%,504,28.80%,687,3.60%,"1,139","$133,200",846,
Chinese Camp CDP,16000US0613182,California,Tuolumne,"2,325,639",174,193.8,-$1,60,14,14,15,0,0,17,0,174,109,0,0,9,0,0,5,51,174,0,36,23,0,23,0,14,14,12,20,0,0,17,0,15,0,21.8,83,27.70%,18.10%,54.20%,0.00%,0.00%,32,0.00%,32,0.00%,60,"$370,000",60,
Chino Hills city,16000US0613214,California,San Bernardino,"115,728,907","80,701","1,806.10","$106,347","25,289","2,013","2,918","3,444","3,323","6,081","3,574","3,936","80,701","23,786","2,860",275,"28,142",85,90,"2,261","23,202","80,701","4,587","5,309","5,820","5,039","6,366","6,347","4,507","3,445","4,818","5,248","6,633","4,535","5,529","5,940","4,299","2,279",38,"54,696",6.30%,16.80%,30.30%,31.00%,15.60%,"21,068",4.40%,"42,020",4.90%,"26,565","$622,300","25,289",
Chino city,16000US0613210,California,San Bernardino,"76,753,889","89,631","3,024.50","$81,711","21,918","2,711","3,388","3,841","3,376","4,524","2,355","1,723","89,631","21,958","4,789",190,"13,444",626,69,"2,851","45,704","89,631","4,746","4,585","6,130","6,130","5,264","5,396","4,034","3,002","5,118","5,498","8,128","8,276","7,834","6,993","5,355","3,142",37.6,"63,853",20.50%,23.30%,33.20%,16.10%,6.90%,"17,364",7.50%,"39,408",5.10%,"23,614","$459,100","21,918",
Chowchilla city,16000US0613294,California,Madera,"28,713,585","18,413","1,660.90","$53,563","3,429",764,831,823,344,418,162,87,"18,413","6,720","1,477",391,663,39,61,438,"8,624","18,413",880,880,"2,312","2,400","1,487","1,371",645,605,950,"1,352",985,"1,411","1,119","1,164",560,292,34.5,"12,968",25.30%,27.30%,38.80%,6.30%,2.20%,"2,487",16.60%,"4,369",6.80%,"3,757","$216,400","3,429",
Chualar CDP,16000US0613364,California,Monterey,"1,621,710","1,512","2,414.80","$46,146",291,39,130,38,18,35,12,19,"1,512",0,0,0,0,0,0,0,"1,512","1,512",114,149,102,124,54,113,82,11,103,169,101,132,102,72,54,30,31.1,852,56.30%,24.50%,14.70%,4.50%,0.00%,272,18.80%,684,3.70%,316,"$339,400",291,
Chula Vista city,16000US0613392,California,San Diego,"128,569,461","268,920","5,417.30","$81,272","79,671","10,590","13,527","12,660","11,675","16,732","7,771","6,716","268,920","45,181","10,940",132,"42,444","1,158",713,"7,671","160,681","268,920","18,354","19,170","17,832","18,640","19,748","16,610","13,081","12,830","18,300","19,271","20,344","19,694","19,381","15,315","11,585","8,765",35.5,"175,262",17.20%,20.30%,33.10%,20.40%,9.00%,"63,399",7.80%,"133,640",9.00%,"86,799","$492,700","79,671",
Citrus CDP,16000US0613560,California,Los Angeles,"2,297,049","10,150","11,444.40","$78,865","2,461",218,508,448,466,588,171,62,"10,150","1,413",104,5,738,27,19,65,"7,779","10,150",688,700,884,690,553,837,580,353,486,662,877,623,721,754,445,297,35.8,"6,643",23.70%,34.80%,28.80%,8.60%,4.00%,"2,009",4.20%,"5,264",5.40%,"2,543","$425,800","2,461",
Citrus Heights city,16000US0613588,California,Sacramento,"36,861,387","87,373","6,139.10","$62,276","34,079","5,483","7,709","7,187","5,245","5,537","1,754","1,164","87,373","60,500","3,225",349,"2,985",93,212,"3,286","16,723","87,373","4,703","4,791","6,443","6,376","5,009","5,929","6,216","5,672","5,310","5,178","6,663","6,681","4,912","5,191","5,014","3,285",38,"61,816",9.70%,25.00%,44.90%,14.70%,5.70%,"21,037",7.60%,"45,906",6.20%,"35,301","$297,700","34,079",
Claremont city,16000US0613756,California,Los Angeles,"34,581,210","36,090","2,703.00","$101,420","11,729","1,200","1,568","1,581","1,411","2,235","1,518","2,216","36,090","17,660","1,901",187,"5,100",12,177,"1,895","9,158","36,090","1,632","3,254","2,404","1,707","2,445","2,544","2,170","2,831","1,350","3,088","2,586","1,822","2,004","2,258","1,856","2,139",40.4,"23,622",5.80%,12.10%,26.10%,25.20%,30.80%,"8,277",3.50%,"18,378",5.40%,"12,511","$672,500","11,729",
Clarksburg CDP,16000US0613784,California,Yolo,"5,254,903",456,224.7,"$89,091",176,0,33,7,56,28,38,14,456,318,0,0,7,0,0,0,131,456,70,20,20,20,36,8,14,17,25,23,22,43,59,0,72,7,37.3,318,0.00%,25.50%,53.50%,18.90%,2.20%,136,0.00%,279,13.60%,176,"$479,600",176,
Clay CDP,16000US0613854,California,Sacramento,"17,496,807","1,187",175.7,"$88,750",398,24,56,97,33,129,26,33,"1,187",817,0,11,28,0,0,37,294,"1,187",19,85,22,30,98,81,101,84,20,130,139,42,82,90,91,73,47.2,820,8.30%,17.80%,43.50%,18.50%,11.80%,314,1.90%,509,0.80%,411,"$582,500",398,
Clayton city,16000US0613882,California,Contra Costa,"9,946,661","12,083","3,146.30","$157,768","4,232",143,394,254,462,697,774,"1,508","12,083","9,016",279,15,922,0,3,607,"1,241","12,083",478,"1,106",510,573,854,"1,134",694,953,623,795,645,476,730,"1,082",849,581,45.9,"8,307",2.50%,10.30%,29.40%,37.90%,19.90%,"3,300",0.50%,"6,112",3.10%,"4,365","$771,400","4,232",
Clear Creek CDP,16000US0613910,California,Lassen,"2,934,099",210,185.4,-$1,100,56,0,32,0,5,7,0,210,163,0,4,0,0,0,14,29,210,5,11,24,9,25,13,7,9,34,11,0,18,15,0,19,10,36.2,125,7.20%,20.00%,48.80%,16.00%,8.00%,66,19.70%,75,0.00%,203,"$217,500",100,
Clearlake Oaks CDP,16000US0613966,California,Lake,"5,123,125","2,265","1,145.10","$45,950","1,102",269,364,135,205,88,32,9,"2,265","1,894",13,31,41,0,0,26,260,"2,265",76,0,95,26,113,244,249,135,143,9,204,68,92,279,348,184,57.4,"1,903",14.00%,32.30%,33.70%,13.60%,6.40%,624,8.70%,798,8.90%,"1,714","$123,000","1,102",
Clearlake Riviera CDP,16000US0613985,California,Lake,"13,525,773","3,930",752.5,"$79,122","1,244",183,229,139,278,293,36,86,"3,930","2,498",337,24,0,0,0,98,973,"3,930",320,112,266,322,202,265,389,162,230,248,203,330,284,261,202,134,38.7,"2,698",8.60%,25.80%,56.70%,7.20%,1.80%,786,10.30%,"1,628",6.30%,"1,534","$223,300","1,244",
Clearlake city,16000US0613945,California,Lake,"26,235,050","15,349","1,515.30","$31,551","5,805","2,228","1,938",881,336,219,196,7,"15,349","9,020",626,693,27,0,26,540,"4,417","15,349","1,177","1,040","1,004",912,872,"1,075",980,787,"1,175","1,006",919,861,791,"1,036",893,821,37.5,"10,182",21.40%,37.50%,33.80%,5.20%,2.10%,"3,278",29.90%,"5,716",18.40%,"8,017","$110,500","5,805",
Cleone CDP,16000US0614008,California,Mendocino,"4,126,679",968,607.5,"$61,458",395,120,58,37,78,63,17,22,968,581,0,0,0,0,0,0,387,968,121,90,48,15,120,16,60,81,19,8,53,55,52,59,100,71,42.5,697,37.40%,21.80%,26.00%,10.60%,4.20%,257,13.20%,468,10.50%,483,"$287,000",395,
