name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Bay Point CDP,16000US0604415,California,Contra Costa,"16,707,475","25,808","4,000.70","$65,098","6,917",974,"1,664","1,360","1,349",919,319,332,"25,808","3,146","2,537",201,"2,418",183,30,712,"16,581","25,808","1,522","1,628","1,829","2,090","1,866","1,815",767,705,"2,251","2,324","2,468","1,796","1,823","1,369","1,015",540,32.4,"15,907",31.90%,27.80%,28.30%,9.20%,2.80%,"5,840",13.30%,"13,266",8.10%,"7,174","$302,900","6,917",
Bayview CDP,16000US0604478,California,Humboldt,"1,895,391","2,811","3,841.10","$39,750",986,294,305,160,112,70,22,23,"2,811","2,201",31,53,52,0,0,196,278,"2,811",160,217,220,170,264,225,130,135,125,220,150,127,116,341,129,82,40.4,"2,017",15.60%,25.60%,42.60%,11.30%,4.90%,652,21.80%,"1,240",8.00%,"1,098","$202,000",986,
Bayview CDP,16000US0604470,California,Contra Costa,"789,227","1,862","6,110.50","$90,984",587,28,86,75,204,72,47,75,"1,862",832,120,0,318,0,0,0,592,"1,862",70,103,50,88,110,135,83,110,123,141,189,186,122,134,89,129,36.6,"1,285",10.70%,32.70%,35.50%,15.50%,5.70%,438,0.00%,874,11.80%,628,"$479,300",587,
Beale AFB CDP,16000US0604576,California,Yuba,"26,153,588","1,020",101,"$50,536",335,59,107,64,43,50,6,6,"1,020",669,18,3,41,0,0,64,225,"1,020",113,67,171,119,36,14,5,0,126,94,154,91,24,6,0,0,23.6,465,1.50%,11.60%,52.70%,15.50%,18.70%,305,10.50%,205,3.40%,348,-$1,335,
Bear Creek CDP,16000US0604632,California,Merced,"148,411",148,"2,582.80","$43,750",61,9,33,19,0,0,0,0,148,85,0,0,0,0,0,0,63,148,0,0,0,12,19,0,9,0,0,29,19,12,0,15,10,23,48.1,119,7.60%,48.70%,43.70%,0.00%,0.00%,29,0.00%,53,0.00%,61,-$1,61,
Bear Valley CDP,16000US0604716,California,Alpine,"13,352,822",59,11.4,-$1,26,0,0,12,0,5,0,9,59,59,0,0,0,0,0,0,0,59,6,0,0,0,6,2,6,3,0,8,0,10,6,3,5,4,44.9,45,0.00%,13.30%,15.60%,37.80%,33.30%,16,0.00%,27,0.00%,465,"$440,000",26,
Bear Valley CDP,16000US0604730,California,Mariposa,"18,742,832",197,27.2,"$64,400",68,9,0,31,26,0,2,0,197,110,0,0,0,0,0,6,81,197,0,29,0,14,2,0,0,0,60,21,0,17,2,34,6,12,15.5,87,0.00%,9.20%,74.70%,2.30%,13.80%,41,0.00%,52,0.00%,68,-$1,68,
Bear Valley Springs CDP,16000US0604734,California,Kern,"107,445,360","5,292",127.6,"$72,273","2,304",181,510,501,261,576,167,108,"5,292","4,365",66,0,126,0,0,171,564,"5,292",169,322,12,249,214,456,593,655,248,371,219,186,108,416,391,683,56.7,"4,076",2.80%,16.90%,45.60%,23.90%,10.90%,"1,579",6.30%,"1,754",6.60%,"2,970","$319,300","2,304",
Beaumont city,16000US0604758,California,Riverside,"78,521,737","47,144","1,555.00","$84,105","13,886","1,825","2,106","2,337","2,039","3,501","1,269",809,"47,144","15,858","4,106",179,"3,961",59,104,975,"21,902","47,144","3,414","4,081","2,955","3,570","2,890","2,721","2,548","2,140","3,791","3,892","2,456","3,191","2,910","2,354","2,275","1,956",34.5,"29,508",12.50%,26.70%,34.70%,17.30%,8.90%,"10,973",8.20%,"21,226",6.70%,"14,573","$320,500","13,886",
Beckwourth CDP,16000US0604772,California,Plumas,"30,257,789",414,35.4,"$99,224",224,13,25,34,58,31,0,63,414,389,0,0,0,0,0,0,25,414,0,18,0,22,52,83,56,15,0,62,0,0,63,0,43,0,49.9,334,5.70%,5.40%,74.30%,0.00%,14.70%,126,10.30%,288,0.00%,362,"$290,400",224,
Belden CDP,16000US0604856,California,Plumas,"1,578,657",0,0,-$1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,56,-$1,0,
Bell Canyon CDP,16000US0604938,California,Ventura,"9,417,299","2,109",580,"$212,045",652,43,21,19,18,112,62,377,"2,109","1,347",59,0,401,0,0,92,210,"2,109",73,166,80,62,167,196,158,97,127,222,73,58,176,173,165,116,45.8,"1,397",2.90%,7.40%,21.50%,36.60%,31.60%,610,6.10%,"1,008",4.00%,672,"$1,480,500",652,
Bell Gardens city,16000US0604996,California,Los Angeles,"6,367,732","42,421","17,254.20","$42,223","9,823","2,537","3,303","2,036",943,738,197,69,"42,421","1,064",359,30,253,14,5,46,"40,650","42,421","3,126","3,899","3,515","2,880","2,870","2,276","1,436","1,206","3,607","3,849","3,540","2,904","2,795","2,053","1,439","1,026",29.5,"24,542",50.10%,27.90%,16.60%,4.30%,1.10%,"8,570",27.00%,"19,674",7.40%,"9,984","$388,100","9,823",
Bell city,16000US0604870,California,Los Angeles,"6,474,239","35,682","14,274.40","$44,327","8,972","2,229","2,793","1,834","1,065",636,269,146,"35,682","1,831",553,56,189,63,31,166,"32,793","35,682","2,461","2,461","3,170","2,117","2,482","1,991","1,431","1,194","2,915","2,956","3,497","2,550","2,340","2,180","1,080",857,30.7,"21,807",46.20%,27.10%,19.10%,6.90%,0.70%,"7,586",20.20%,"17,114",7.40%,"9,210","$413,400","8,972",
Bella Vista CDP,16000US0604926,California,Shasta,"57,495,927","2,427",109.3,"$64,258",963,181,205,160,129,125,91,72,"2,427","2,099",26,28,14,20,0,60,180,"2,427",47,146,154,35,158,192,228,250,128,146,94,92,110,237,252,158,51.7,"1,852",8.50%,18.50%,53.30%,11.30%,8.40%,688,9.20%,"1,098",1.30%,"1,127","$320,500",963,
Bellflower city,16000US0604982,California,Los Angeles,"15,848,408","77,195","12,615.40","$60,011","23,240","4,423","5,279","4,425","3,294","3,681","1,237",901,"77,195","12,260","10,009",162,"9,311",414,334,"1,557","43,148","77,195","5,557","5,294","6,121","5,409","5,414","4,817","3,660","3,319","5,184","6,013","5,680","5,358","4,952","4,742","3,479","2,196",34.6,"49,415",23.40%,25.00%,33.10%,13.60%,4.90%,"17,342",9.80%,"38,560",5.80%,"24,874","$458,600","23,240",
Belmont city,16000US0605108,California,San Mateo,"12,002,431","27,097","5,847.20","$156,052","10,285",882,783,874,991,"1,475","1,446","3,834","27,097","14,611",275,61,"7,417",257,75,"1,117","3,284","27,097","1,373","1,665",993,"2,269","2,025","2,103","1,531","1,684","1,775","1,835","1,120","2,283","2,021","1,682","1,333","1,405",40.9,"19,431",4.30%,9.20%,21.90%,30.70%,33.90%,"7,352",2.20%,"14,703",3.20%,"11,000","$1,527,500","10,285",
Belvedere city,16000US0605164,California,Marin,"1,345,174","2,134","4,108.80","$245,208",895,75,75,37,47,70,65,526,"2,134","1,970",0,0,43,0,0,13,108,"2,134",77,229,29,18,215,148,170,262,90,183,0,23,173,131,183,203,50.7,"1,534",0.00%,2.90%,11.70%,43.30%,42.10%,626,1.60%,718,2.80%,"1,060","$2,000,001",895,
Ben Lomond CDP,16000US0605332,California,Santa Cruz,"21,651,907","6,890",824.2,"$95,814","2,368",215,353,324,332,398,226,520,"6,890","5,774",23,0,82,0,12,160,839,"6,890",360,325,557,450,465,566,582,287,367,352,445,509,451,340,544,290,41.1,"4,808",4.50%,14.80%,41.80%,26.80%,12.10%,"1,638",2.00%,"3,840",1.90%,"2,584","$720,200","2,368",
Benbow CDP,16000US0605262,California,Humboldt,"12,641,980",118,24.2,-$1,56,2,31,0,23,0,0,0,118,118,0,0,0,0,0,0,0,118,0,0,0,0,11,0,2,21,0,14,15,12,0,24,2,17,50.6,89,0.00%,39.30%,31.50%,13.50%,15.70%,25,8.00%,50,30.00%,91,"$346,600",56,
Bend CDP,16000US0605276,California,Tehama,"7,567,416",498,170.4,"$48,365",195,66,40,53,19,3,0,14,498,411,0,0,0,0,0,0,87,498,0,0,0,10,0,19,89,101,19,16,24,0,47,45,17,111,67.5,439,12.30%,40.30%,28.00%,11.60%,7.70%,161,30.40%,103,0.00%,215,"$376,900",195,
Benicia city,16000US0605290,California,Solano,"33,253,310","28,192","2,195.80","$103,413","11,293","1,123","1,265","1,481","1,601","2,236","1,562","2,025","28,192","18,339",908,0,"3,157",68,196,"1,911","3,613","28,192","1,316","1,630","1,279","1,493","1,938","2,432","2,446","1,900","1,431","1,811","1,252","1,278","2,027","2,258","2,151","1,550",46.1,"20,921",3.20%,17.30%,34.90%,29.00%,15.60%,"7,895",6.00%,"15,114",2.70%,"11,786","$585,600","11,293",
Benton CDP,16000US0605346,California,Mono,"73,770,745",328,11.5,"$40,735",130,42,37,43,0,0,8,0,328,238,0,71,2,0,0,0,17,328,3,2,4,7,22,2,63,26,2,1,1,58,63,2,55,17,52.5,320,5.30%,16.60%,48.80%,22.20%,7.20%,92,1.10%,141,1.40%,131,"$202,500",130,
Berkeley city,16000US0606000,California,Alameda,"27,127,434","121,485","11,598.80","$85,530","45,352","8,572","6,571","5,446","4,168","6,849","4,910","8,836","121,485","64,781","9,324",282,"25,313",532,296,"7,104","13,853","121,485","3,796","8,771","16,360","7,631","6,075","5,947","6,500","6,283","4,413","9,200","15,688","8,360","6,299","5,425","5,627","5,110",31.1,"76,120",3.60%,6.30%,16.30%,34.00%,39.90%,"20,698",3.80%,"66,897",5.30%,"48,674","$1,004,900","45,352",
Bermuda Dunes CDP,16000US0606028,California,Riverside,"7,631,261","6,704","2,275.30","$59,860","2,816",505,651,469,449,372,211,159,"6,704","3,922",119,0,232,0,11,153,"2,267","6,704",333,403,318,611,474,478,440,466,439,506,395,545,235,331,380,350,38.7,"4,801",8.00%,29.50%,34.60%,18.60%,9.30%,"1,626",12.10%,"3,415",8.50%,"3,830","$346,600","2,816",
Berry Creek CDP,16000US0606070,California,Butte,"147,940,042","1,313",23,"$34,495",551,176,218,54,40,35,20,8,"1,313","1,139",0,28,30,3,0,26,87,"1,313",42,57,22,47,60,103,155,116,33,64,99,74,71,121,148,101,55.5,"1,069",14.30%,34.10%,43.00%,6.00%,2.50%,357,23.00%,464,21.60%,963,"$173,000",551,
