name,geoid,state_name,county_name,population,population_density_sq_mi,median_household_income,hhs_total,race_and_ethnicity_total,age_total,median_age,educational_attainment_population_25_years_and_over,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Acalanes Ridge CDP,16000US0600135,California,Contra Costa,1134,2461.8,-1,410,1134,1134,44.8,773,0.525,1,0.301,373,0.064,0.065,410,1071200,410,
Acampo CDP,16000US0600156,California,San Joaquin,204,217.6,143070,88,204,204,72.1,153,0.105,0,0.176,88,0,0,88,-1,88,
Acton CDP,16000US0600212,California,Los Angeles,7232,184.2,97857,2584,7232,7232,49.2,5366,0.202,0,0.071,1955,0.046,0.051,2845,559600,2584,
Adelanto city,16000US0600296,California,San Bernardino,33660,636.2,45380,7695,33660,33660,27.5,18104,0.043,0,0.016,6455,0.249,0.129,8322,195800,7695,
Adin CDP,16000US0600310,California,Modoc,171,49.8,57625,78,171,171,58.1,129,0.163,0,0.171,41,0.195,0.2,123,130500,78,
Agoura Hills city,16000US0600394,California,Los Angeles,20533,2632.2,122998,7377,20533,20533,44.4,14583,0.374,1,0.221,5482,0.038,0.046,7779,815000,7377,
Agua Dulce CDP,16000US0600450,California,Los Angeles,3742,163.8,106875,1118,3742,3742,46.1,2698,0.182,0,0.092,901,0.064,0.042,1228,634500,1118,
Aguanga CDP,16000US0600464,California,Riverside,805,59.2,77857,300,805,805,46.3,563,0.165,0,0.023,268,0.112,0,570,-1,300,
Ahwahnee CDP,16000US0600478,California,Madera,2513,250.7,71336,869,2513,2513,50.7,1951,0.211,0,0.044,635,0.03,0.109,1092,312300,869,
Airport CDP,16000US0600535,California,Stanislaus,1479,2575.7,29489,486,1479,1479,29.8,905,0.044,0,0,280,0.261,0.24,500,166800,486,
Alameda city,16000US0600562,California,Alameda,78522,7515,104756,30418,78522,78522,40.6,57946,0.341,1,0.206,18998,0.059,0.036,32346,859900,30418,
Alamo CDP,16000US0600618,California,Contra Costa,14905,1540.8,239545,5156,14905,14905,49.7,10634,0.467,1,0.275,4310,0.02,0.018,5560,1670500,5156,
Albany city,16000US0600674,California,Alameda,19804,11069.9,95400,7444,19804,19804,36.5,13576,0.325,1,0.404,5272,0.067,0.035,7850,882500,7444,
Albion CDP,16000US0600716,California,Mendocino,254,139.9,-1,55,254,254,22.1,104,0,0,0.288,0,0,0.109,55,-1,55,
Alderpoint CDP,16000US0600786,California,Humboldt,156,64.3,38787,59,156,156,53.4,156,0,0,0,34,0,0,59,337200,59,
Alhambra Valley CDP,16000US0600898,California,Contra Costa,783,585.1,151125,273,783,783,48.1,539,0.299,1,0.241,197,0,0.032,273,936500,273,
Alhambra city,16000US0600884,California,Los Angeles,84647,11092.5,61384,29771,84647,84647,40.9,63207,0.237,0,0.118,20432,0.095,0.043,31719,612700,29771,
Aliso Viejo city,16000US0600947,California,Orange,50663,7321.9,112689,18515,50663,50663,37.8,34256,0.369,1,0.193,12800,0.028,0.037,19607,632900,18515,
Alleghany CDP,16000US0600982,California,Sierra,78,223.4,-1,47,78,78,59.6,78,0,0,0,25,0,0,71,-1,47,
Allendale CDP,16000US0600996,California,Solano,1388,226.2,121081,496,1388,1388,54.4,1063,0.202,0,0.095,406,0,0.04,530,593100,496,
Allensworth CDP,16000US0601010,California,Tulare,575,185.3,33214,136,575,575,25.5,296,0.014,0,0,98,0.398,0.211,150,108300,136,
Almanor CDP,16000US0601094,California,Plumas,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,99,-1,0,
Alondra Park CDP,16000US0601150,California,Los Angeles,8272,7475.3,61865,2692,8272,8272,36.5,5563,0.213,0,0.047,1929,0.129,0.053,2916,584000,2692,
Alpaugh CDP,16000US0601164,California,Tulare,1145,1139.2,33125,282,1145,1145,24.9,570,0,0,0,228,0.355,0.235,304,60600,282,
Alpine CDP,16000US0601192,California,San Diego,14878,555.4,87930,5342,14878,14878,40.8,10507,0.215,0,0.141,3817,0.07,0.051,5562,606200,5342,
Alpine Village CDP,16000US0601228,California,Alpine,101,36,58750,41,101,101,42.6,71,0.225,0,0,16,0,0,73,375000,41,
Alta CDP,16000US0601276,California,Placer,566,237.5,99141,233,566,566,56.6,454,0.165,0,0.112,189,0.079,0.168,312,384100,233,
Alta Sierra CDP,16000US0601360,California,Nevada,7280,874.9,85758,2860,7280,7280,49.2,5482,0.204,0,0.116,2141,0.014,0.026,3023,395700,2860,
Altadena CDP,16000US0601290,California,Los Angeles,44850,5297.7,98693,15265,44850,44850,44.3,32859,0.233,0,0.221,11059,0.05,0.056,16556,742800,15265,
Alto CDP,16000US0601416,California,Marin,611,4858.9,185395,232,611,611,46.9,492,0.362,1,0.374,167,0,0.056,297,2000001,232,
Alturas city,16000US0601444,California,Modoc,2567,909,37917,1143,2567,2567,41.3,1913,0.061,0,0.031,498,0.114,0.128,1314,91800,1143,
Alum Rock CDP,16000US0601458,California,Santa Clara,11551,13714.8,90405,2676,11551,11551,32.9,7355,0.112,0,0.049,2298,0.082,0.062,2730,633800,2676,
Amador City city,16000US0601514,California,Amador,167,538.9,-1,74,167,167,39.1,120,0.233,0,0.033,39,0,0.135,107,436400,74,
American Canyon city,16000US0601640,California,Napa,20261,3329,101792,5296,20261,20261,37.9,13065,0.223,0,0.075,4458,0.079,0.052,5485,499300,5296,
Amesti CDP,16000US0601651,California,Santa Cruz,3163,1075.4,81429,822,3163,3163,30.6,1939,0.094,0,0.06,696,0.128,0.109,827,560700,822,
Anaheim city,16000US0602000,California,Orange,349964,6954.7,71763,101658,349964,349964,34.5,229566,0.182,0,0.073,75119,0.112,0.052,106708,575600,101658,
Anchor Bay CDP,16000US0602028,California,Mendocino,352,100.2,69851,181,352,352,69.2,352,0.298,1,0.023,111,0,0,362,636600,181,
Anderson city,16000US0602042,California,Shasta,10407,1480.1,42649,4048,10407,10407,34.7,6825,0.09,0,0.036,2522,0.12,0.048,4269,200200,4048,
Angels city,16000US0602112,California,Calaveras,3875,1066.8,53622,1842,3875,3875,54.5,2871,0.153,0,0.108,1046,0.121,0.046,2203,365000,1842,
Angwin CDP,16000US0602168,California,Napa,3179,658.3,72625,735,3179,3179,25.2,1602,0.237,0,0.172,482,0.021,0.048,886,755700,735,
Antelope CDP,16000US0602210,California,Sacramento,48398,7079.6,80998,14453,48398,48398,32.9,29794,0.187,0,0.06,11899,0.093,0.034,14747,325300,14453,
Antioch city,16000US0602252,California,Contra Costa,111200,3788.8,76601,34028,111200,111200,36,72732,0.148,0,0.061,25990,0.122,0.084,35373,397400,34028,
Anza CDP,16000US0602294,California,Riverside,3076,111.5,42962,1015,3076,3076,41.5,2140,0.126,0,0.06,645,0.101,0.175,1426,167900,1015,
Apple Valley town,16000US0602364,California,San Bernardino,72726,970.6,54527,23842,72726,72726,36.7,46320,0.108,0,0.071,18156,0.136,0.105,26044,255000,23842,
Aptos CDP,16000US0602378,California,Santa Cruz,6387,971,112308,2498,6387,6387,51.5,4701,0.351,1,0.224,1733,0.036,0.022,2673,828400,2498,
Aptos Hills-Larkin Valley CDP,16000US0602382,California,Santa Cruz,2251,243.1,112778,828,2251,2251,56.5,1759,0.214,0,0.202,565,0,0.038,888,823800,828,
Arbuckle CDP,16000US0602420,California,Colusa,3809,2165.2,69893,1031,3809,3809,30.7,2192,0.077,0,0.021,880,0.09,0.06,1085,263500,1031,
Arcadia city,16000US0602462,California,Los Angeles,58152,5323,93574,19520,58152,58152,43.7,41997,0.341,1,0.208,15589,0.075,0.047,21386,1097600,19520,
Arcata city,16000US0602476,California,Humboldt,18178,1940.5,35506,7155,18178,18178,26.4,9619,0.303,1,0.183,2474,0.157,0.117,7926,341000,7155,
Arden-Arcade CDP,16000US0602553,California,Sacramento,102864,5789.1,50501,42503,102864,102864,36.9,70483,0.218,0,0.13,23938,0.168,0.085,44878,367700,42503,
Armona CDP,16000US0602700,California,Kings,4407,2318.5,48828,1197,4407,4407,27.5,2365,0.06,0,0.039,994,0.176,0.076,1274,151500,1197,
Arnold CDP,16000US0602770,California,Calaveras,2291,155,57708,1075,2291,2291,61,2005,0.176,0,0.093,611,0.02,0.089,4940,293000,1075,
Aromas CDP,16000US0602812,California,Monterey; San Benito,12263941,2479,523.5,109413,127,873,95,43.2,0.436,1,0.243,0.061,673,1386,0.033,826,641100,144
Arroyo Grande city,16000US0602868,California,San Luis Obispo,18033,3037.3,80833,7026,18033,18033,44.6,12974,0.213,0,0.128,4760,0.037,0.021,7735,591800,7026,
Artesia city,16000US0602896,California,Los Angeles,16758,10340,67647,4460,16758,16758,38.3,12174,0.209,0,0.072,3692,0.057,0.054,4691,542200,4460,
Artois CDP,16000US0602910,California,Glenn,311,108,43452,108,311,311,40.4,191,0.026,0,0,80,0,0.034,108,172400,108,
Arvin city,16000US0602924,California,Kern,21249,4409.1,38464,4864,21249,21249,25.3,10730,0.015,0,0.004,4453,0.294,0.095,5130,166900,4864,
Ashland CDP,16000US0602980,California,Alameda,24430,13294.3,63406,7695,24430,24430,34.2,16310,0.169,0,0.032,5417,0.113,0.073,8011,498500,7695,
Aspen Springs CDP,16000US0603026,California,Mono,23,6.4,-1,8,23,23,-1,23,0,0,0,8,0,0,8,-1,8,
Atascadero city,16000US0603064,California,San Luis Obispo,30130,1156,79658,11621,30130,30130,37.7,21260,0.217,0,0.1,7899,0.055,0.031,12033,493200,11621,
Atherton town,16000US0603092,California,San Mateo,7168,1424.9,250001,2215,7168,7168,47.4,4808,0.319,1,0.5,1828,0.02,0.048,2471,2000001,2215,
Atwater city,16000US0603162,California,Merced,29296,4808.7,55674,9161,29296,29296,31.6,17707,0.104,0,0.036,7085,0.185,0.112,9577,229400,9161,
Auberry CDP,16000US0603190,California,Fresno,2009,104.9,64390,837,2009,2009,50.4,1542,0.132,0,0.069,511,0.055,0.038,859,295500,837,
Auburn Lake Trails CDP,16000US0603205,California,El Dorado,3664,287.9,100541,1454,3664,3664,51.6,2842,0.16,0,0.164,1013,0.016,0.03,1502,392300,1454,
Auburn city,16000US0603204,California,Placer,14011,1952.2,66314,6152,14011,14011,48.5,10490,0.234,0,0.142,3612,0.099,0.058,6497,447600,6152,
August CDP,16000US0603209,California,San Joaquin,8405,6692.8,34611,2190,8405,8405,26.1,4311,0.021,0,0,1748,0.291,0.161,2391,164900,2190,
Avalon city,16000US0603274,California,Los Angeles,3731,1293.9,74769,1487,3731,3731,42.1,2595,0.136,0,0.092,1032,0.122,0,2256,628600,1487,
Avenal city,16000US0603302,California,Kings,12961,665.1,41114,2489,12961,12961,29.1,7562,0.02,0,0.012,2131,0.338,0.125,2657,152500,2489,
Avery CDP,16000US0603316,California,Calaveras,561,124.6,74861,212,561,561,44.2,440,0.107,0,0.145,135,0,0.06,389,247600,212,
Avila Beach CDP,16000US0603330,California,San Luis Obispo,1311,215.4,80281,731,1311,1311,63.7,1203,0.144,0,0.185,391,0.036,0.013,982,1034500,731,
Avocado Heights CDP,16000US0603344,California,Los Angeles,15426,5701.5,75142,3921,15426,15426,38.6,10653,0.127,0,0.039,3482,0.073,0.081,4070,478800,3921,
Azusa city,16000US0603386,California,Los Angeles,49753,5146.8,68216,12811,49753,49753,29.8,29119,0.164,0,0.076,9707,0.11,0.062,13800,418800,12811,
Baker CDP,16000US0603512,California,San Bernardino,541,201.3,27308,188,541,541,29.2,309,0.01,0,0,128,0.258,0.058,218,-1,188,
Bakersfield city,16000US0603526,California,Kern,377917,2523.5,63139,117050,377917,377917,30.8,226243,0.143,0,0.076,87755,0.138,0.084,124478,247000,117050,
Baldwin Park city,16000US0603666,California,Los Angeles,75892,11444.6,65904,17988,75892,75892,35,49886,0.11,0,0.022,15368,0.11,0.058,18795,408600,17988,
Ballard CDP,16000US0603694,California,Santa Barbara,529,448.3,124375,169,529,529,48.6,403,0.154,0,0.141,140,0.043,0,187,914800,169,
Ballico CDP,16000US0603708,California,Merced,538,178,62500,182,538,538,32.7,346,0.087,0,0,130,0.169,0.137,182,236700,182,
Bangor CDP,16000US0603792,California,Butte,429,32,61875,162,429,429,58.3,376,0.061,0,0.122,142,0.028,0,224,331100,162,
Banning city,16000US0603820,California,Riverside,31072,1335.3,42274,10991,31072,31072,41.5,21354,0.093,0,0.06,6993,0.148,0.091,11809,234900,10991,
Barstow city,16000US0604030,California,San Bernardino,23899,579,40633,8312,23899,23899,30.1,13969,0.058,0,0.034,5396,0.286,0.092,9455,117100,8312,
Bass Lake CDP,16000US0604198,California,Madera,449,238.6,96833,204,449,449,62.3,370,0.159,0,0.222,140,0,0,924,673300,204,
Bay Point CDP,16000US0604415,California,Contra Costa,25808,4000.7,65098,6917,25808,25808,32.4,15907,0.092,0,0.028,5840,0.133,0.081,7174,302900,6917,
Bayview CDP,16000US0604478,California,Humboldt,2811,3841.1,39750,986,2811,2811,40.4,2017,0.113,0,0.049,652,0.218,0.08,1098,202000,986,
Bayview CDP,16000US0604470,California,Contra Costa,1862,6110.5,90984,587,1862,1862,36.6,1285,0.155,0,0.057,438,0,0.118,628,479300,587,
Beale AFB CDP,16000US0604576,California,Yuba,1020,101,50536,335,1020,1020,23.6,465,0.155,0,0.187,305,0.105,0.034,348,-1,335,
Bear Creek CDP,16000US0604632,California,Merced,148,2582.8,43750,61,148,148,48.1,119,0,0,0,29,0,0,61,-1,61,
Bear Valley CDP,16000US0604716,California,Alpine,59,11.4,-1,26,59,59,44.9,45,0.378,1,0.333,16,0,0,465,440000,26,
Bear Valley CDP,16000US0604730,California,Mariposa,197,27.2,64400,68,197,197,15.5,87,0.023,0,0.138,41,0,0,68,-1,68,
Bear Valley Springs CDP,16000US0604734,California,Kern,5292,127.6,72273,2304,5292,5292,56.7,4076,0.239,0,0.109,1579,0.063,0.066,2970,319300,2304,
Beaumont city,16000US0604758,California,Riverside,47144,1555,84105,13886,47144,47144,34.5,29508,0.173,0,0.089,10973,0.082,0.067,14573,320500,13886,
Beckwourth CDP,16000US0604772,California,Plumas,414,35.4,99224,224,414,414,49.9,334,0,0,0.147,126,0.103,0,362,290400,224,
Belden CDP,16000US0604856,California,Plumas,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,56,-1,0,
Bell Canyon CDP,16000US0604938,California,Ventura,2109,580,212045,652,2109,2109,45.8,1397,0.366,1,0.316,610,0.061,0.04,672,1480500,652,
Bell Gardens city,16000US0604996,California,Los Angeles,42421,17254.2,42223,9823,42421,42421,29.5,24542,0.043,0,0.011,8570,0.27,0.074,9984,388100,9823,
Bell city,16000US0604870,California,Los Angeles,35682,14274.4,44327,8972,35682,35682,30.7,21807,0.069,0,0.007,7586,0.202,0.074,9210,413400,8972,
Bella Vista CDP,16000US0604926,California,Shasta,2427,109.3,64258,963,2427,2427,51.7,1852,0.113,0,0.084,688,0.092,0.013,1127,320500,963,
Bellflower city,16000US0604982,California,Los Angeles,77195,12615.4,60011,23240,77195,77195,34.6,49415,0.136,0,0.049,17342,0.098,0.058,24874,458600,23240,
Belmont city,16000US0605108,California,San Mateo,27097,5847.2,156052,10285,27097,27097,40.9,19431,0.307,1,0.339,7352,0.022,0.032,11000,1527500,10285,
Belvedere city,16000US0605164,California,Marin,2134,4108.8,245208,895,2134,2134,50.7,1534,0.433,1,0.421,626,0.016,0.028,1060,2000001,895,
Ben Lomond CDP,16000US0605332,California,Santa Cruz,6890,824.2,95814,2368,6890,6890,41.1,4808,0.268,1,0.121,1638,0.02,0.019,2584,720200,2368,
Benbow CDP,16000US0605262,California,Humboldt,118,24.2,-1,56,118,118,50.6,89,0.135,0,0.157,25,0.08,0.3,91,346600,56,
Bend CDP,16000US0605276,California,Tehama,498,170.4,48365,195,498,498,67.5,439,0.116,0,0.077,161,0.304,0,215,376900,195,
Benicia city,16000US0605290,California,Solano,28192,2195.8,103413,11293,28192,28192,46.1,20921,0.29,1,0.156,7895,0.06,0.027,11786,585600,11293,
Benton CDP,16000US0605346,California,Mono,328,11.5,40735,130,328,328,52.5,320,0.222,0,0.072,92,0.011,0.014,131,202500,130,
Berkeley city,16000US0606000,California,Alameda,121485,11598.8,85530,45352,121485,121485,31.1,76120,0.34,1,0.399,20698,0.038,0.053,48674,1004900,45352,
Bermuda Dunes CDP,16000US0606028,California,Riverside,6704,2275.3,59860,2816,6704,6704,38.7,4801,0.186,0,0.093,1626,0.121,0.085,3830,346600,2816,
Berry Creek CDP,16000US0606070,California,Butte,1313,23,34495,551,1313,1313,55.5,1069,0.06,0,0.025,357,0.23,0.216,963,173000,551,
Bertsch-Oceanview CDP,16000US0606150,California,Del Norte,1988,375.1,41471,858,1988,1988,51.1,1412,0.044,0,0.031,476,0.164,0.205,987,165500,858,
Bethel Island CDP,16000US0606210,California,Contra Costa,2161,411.5,33583,906,2161,2161,45.5,1596,0.096,0,0.014,532,0.195,0.049,1417,168900,906,
Beverly Hills city,16000US0606308,California,Los Angeles,34186,5989.1,106936,14769,34186,34186,44.8,25207,0.344,1,0.287,8495,0.069,0.06,17559,2000001,14769,
Bieber CDP,16000US0606336,California,Lassen,156,95.3,42692,80,156,156,51.6,109,0,0,0,38,0,0,129,-1,80,
Big Bear City CDP,16000US0606406,California,San Bernardino,13463,421.4,51875,5375,13463,13463,42.2,9166,0.126,0,0.051,3559,0.139,0.06,12950,257200,5375,
Big Bear Lake city,16000US0606434,California,San Bernardino,5241,839.9,51060,2237,5241,5241,43.7,3905,0.17,0,0.113,1375,0.128,0.03,9864,391000,2237,
Big Bend CDP,16000US0606475,California,Shasta,132,23,22500,48,132,132,44,87,0.103,0,0.046,26,0.308,0.4,90,120800,48,
Big Creek CDP,16000US0606518,California,Fresno,198,430.4,90750,57,198,198,23.9,98,0.337,1,0.041,46,0,0.23,104,320000,57,
Big Lagoon CDP,16000US0606567,California,Humboldt,100,166.9,64167,46,100,100,62.7,91,0.154,0,0.462,28,0,0.136,122,506600,46,
Big Pine CDP,16000US0606616,California,Inyo,1524,515.8,53891,699,1524,1524,48.6,1145,0.123,0,0.073,340,0.041,0.032,838,232200,699,
Big River CDP,16000US0606635,California,San Bernardino,1149,106.1,33534,526,1149,1149,56.5,909,0.1,0,0.012,297,0.081,0.123,1069,91400,526,
Biggs city,16000US0606560,California,Butte,2175,2431.2,54188,637,2175,2175,32.1,1353,0.043,0,0.021,537,0.171,0.037,667,211400,637,
Biola CDP,16000US0606728,California,Fresno,1705,3211.4,-1,378,1705,1705,24.3,827,0.106,0,0.017,349,0.407,0.228,378,156200,378,
Bishop city,16000US0606798,California,Inyo,3745,2009.3,62067,1993,3745,3745,46.3,2916,0.201,0,0.183,738,0.034,0.038,2187,319000,1993,
Black Point-Green Point CDP,16000US0606982,California,Marin,1622,573.7,132438,617,1622,1622,56.1,1290,0.358,1,0.204,419,0.019,0.056,627,991300,617,
Blackhawk CDP,16000US0606928,California,Contra Costa,9604,1657.1,214754,3458,9604,9604,50.2,7050,0.409,1,0.292,3116,0.027,0.044,3533,1350600,3458,
Blacklake CDP,16000US0606935,California,San Luis Obispo,850,813.1,83203,445,850,850,68.1,805,0.281,1,0.266,268,0,0,639,788700,445,
Blairsden CDP,16000US0606994,California,Plumas,18,33.2,-1,9,18,18,-1,18,0,0,0,9,0,0,28,-1,9,
Bloomfield CDP,16000US0607036,California,Sonoma,292,35.9,97727,88,292,292,47.8,250,0.432,1,0.352,67,0,0.074,115,828100,88,
Bloomington CDP,16000US0607064,California,San Bernardino,21847,3598.1,52085,5747,21847,21847,32.8,13564,0.072,0,0.025,4827,0.162,0.056,6352,270000,5747,
Blue Lake city,16000US0607162,California,Humboldt,902,1521.5,53929,428,902,902,50.5,773,0.211,0,0.155,239,0.084,0.045,507,310000,428,
Bluewater CDP,16000US0607172,California,San Bernardino,163,155.7,31000,84,163,163,67.1,136,0.088,0,0,35,0.171,0.128,515,27500,84,
Blythe city,16000US0607218,California,Riverside,19643,738.3,45385,4922,19643,19643,35.2,13583,0.051,0,0.026,3145,0.214,0.083,6258,150000,4922,
Bodega Bay CDP,16000US0607260,California,Sonoma,665,79.7,86319,406,665,665,66.8,556,0.313,1,0.371,161,0,0.047,812,757400,406,
Bodega CDP,16000US0607246,California,Sonoma,892,307.4,-1,241,892,892,45.9,633,0.224,0,0.079,176,0,0.248,241,866800,241,
Bodfish CDP,16000US0607274,California,Kern,2030,247.1,22438,902,2030,2030,45.3,1447,0.111,0,0.05,476,0.351,0.101,1195,96300,902,
Bolinas CDP,16000US0607316,California,Marin,1074,184.3,61667,528,1074,1074,62.6,953,0.295,1,0.269,249,0.084,0.036,838,1094400,528,
Bombay Beach CDP,16000US0607372,California,Imperial,297,315.6,21154,128,297,297,76,284,0.049,0,0.099,56,0,0.209,375,43700,128,
Bonadelle Ranchos-Madera Ranchos CDP,16000US0607379,California,Madera,9551,820.7,82292,3010,9551,9551,41.9,6271,0.154,0,0.092,2596,0.061,0.062,3113,319000,3010,
Bonita CDP,16000US0607414,California,San Diego,12706,2533.7,99427,4089,12706,12706,43.5,9600,0.218,0,0.186,2985,0.03,0.085,4546,662400,4089,
Bonny Doon CDP,16000US0607470,California,Santa Cruz,3096,185.5,109231,1108,3096,3096,49.8,2378,0.282,1,0.217,794,0.082,0.019,1236,868600,1108,
Bonsall CDP,16000US0607498,California,San Diego,4458,332.6,92544,1604,4458,4458,45,3209,0.238,0,0.127,1111,0.023,0.082,1688,686000,1604,
Boonville CDP,16000US0607512,California,Mendocino,947,170.9,51346,298,947,947,41.3,645,0.087,0,0.113,215,0.023,0.09,396,514900,298,
Bootjack CDP,16000US0607525,California,Mariposa,743,106.1,45606,352,743,743,58,561,0.176,0,0.078,240,0.171,0.109,382,266000,352,
Boron CDP,16000US0607568,California,Kern,2221,160.9,51181,943,2221,2221,37.3,1532,0.096,0,0.015,508,0.264,0.074,1167,71400,943,
Boronda CDP,16000US0607578,California,Monterey,1763,3072.1,47383,410,1763,1763,37.8,1164,0.15,0,0,351,0.091,0.194,410,291500,410,
Borrego Springs CDP,16000US0607596,California,San Diego,2145,49.4,49570,1021,2145,2145,62.7,1688,0.127,0,0.145,676,0,0.117,2703,186400,1021,
Bostonia CDP,16000US0607624,California,San Diego,16603,8622.6,55368,5608,16603,16603,33.8,10826,0.147,0,0.031,3826,0.145,0.083,5798,368300,5608,
Boulder Creek CDP,16000US0607652,California,Santa Cruz,5182,689.9,97433,2183,5182,5182,47.5,3903,0.245,0,0.145,1333,0.005,0.063,2389,578000,2183,
Boulevard CDP,16000US0607694,California,San Diego,405,103.7,-1,220,405,405,67.1,405,0.158,0,0,124,0.484,0,220,261300,220,
Bowles CDP,16000US0607750,California,Fresno,272,714.5,-1,50,272,272,31.7,141,0.184,0,0,45,0.467,0.103,50,-1,50,
Boyes Hot Springs CDP,16000US0607848,California,Sonoma,7728,7287.9,74120,2779,7728,7728,36,4721,0.186,0,0.145,1813,0.031,0.032,3050,558300,2779,
Bradbury city,16000US0607946,California,Los Angeles,833,424.2,146250,270,833,833,46.2,627,0.319,1,0.225,235,0.055,0.021,385,1555900,270,
Bradley CDP,16000US0607974,California,Monterey,113,1314.1,58750,41,113,113,51.8,94,0.021,0,0.021,41,0,0,47,273700,41,
Brawley city,16000US0608058,California,Imperial,26076,3212.3,42326,6887,26076,26076,30.6,15264,0.089,0,0.028,5369,0.279,0.18,8390,188900,6887,
Brea city,16000US0608100,California,Orange,42678,3510.2,94492,15246,42678,42678,39.5,29327,0.284,1,0.169,11050,0.046,0.051,15923,660400,15246,
Brentwood city,16000US0608142,California,Contra Costa,61961,4169.9,108994,19906,61961,61961,40,40274,0.234,0,0.097,16038,0.037,0.067,20627,580500,19906,
Bret Harte CDP,16000US0608172,California,Stanislaus,5148,9356.3,37526,1259,5148,5148,22.1,2319,0.003,0,0.009,1126,0.309,0.19,1286,134200,1259,
Bridgeport CDP,16000US0608240,California,Mono,542,24.9,84444,194,542,542,55.2,442,0.265,1,0.045,129,0.008,0,437,201900,194,
Brisbane city,16000US0608310,California,San Mateo,4697,1517.3,112016,1892,4697,4697,46.6,3667,0.29,1,0.258,1175,0.051,0.026,1959,889200,1892,
Broadmoor CDP,16000US0608338,California,San Mateo,5170,11469.2,94160,1631,5170,5170,37.9,3973,0.227,0,0.061,1231,0.01,0.084,1631,804600,1631,
Brookdale CDP,16000US0608478,California,Santa Cruz,1939,504,108790,742,1939,1939,52.2,1378,0.272,1,0.107,446,0.13,0,814,648900,742,
Brooktrails CDP,16000US0608530,California,Mendocino,3800,522.5,55032,1531,3800,3800,39,2495,0.145,0,0.102,940,0.095,0.093,1597,277100,1531,
Buck Meadows CDP,16000US0608716,California,Mariposa,10,5.7,-1,10,10,10,-1,10,0,0,0,0,0,0,10,-1,10,
Buckhorn CDP,16000US0608680,California,Amador,2387,406.7,47150,1100,2387,2387,56.1,2001,0.16,0,0.061,575,0.12,0.148,1826,253400,1100,
Bucks Lake CDP,16000US0608744,California,Plumas,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,252,-1,0,
Buellton city,16000US0608758,California,Santa Barbara,5082,3212.1,93099,1941,5082,5082,44.8,3672,0.257,1,0.142,1409,0,0.02,2013,522900,1941,
Buena Park city,16000US0608786,California,Orange,82489,7841.9,78932,23680,82489,82489,36.8,56074,0.227,0,0.078,19394,0.081,0.052,24578,579100,23680,
Buena Vista CDP,16000US0608828,California,Amador,595,366.9,46313,203,595,595,51.9,385,0.109,0,0.031,160,0.381,0.161,203,131300,203,
Burbank CDP,16000US0608968,California,Santa Clara,5022,12067.7,91190,1962,5022,5022,39.5,3795,0.213,0,0.154,1250,0.034,0.043,2092,778100,1962,
Burbank city,16000US0608954,California,Los Angeles,103703,5989.2,75827,41797,103703,103703,39.8,76726,0.289,1,0.134,24703,0.061,0.061,43884,730100,41797,
Burlingame city,16000US0609066,California,San Mateo,30576,6940.7,128447,12150,30576,30576,40.1,22165,0.363,1,0.316,7822,0.03,0.047,12697,1901900,12150,
Burney CDP,16000US0609122,California,Shasta,3965,738,45875,1368,3965,3965,35.2,2477,0.094,0,0.041,921,0.127,0.104,1570,157700,1368,
Burnt Ranch CDP,16000US0609150,California,Trinity,299,22.3,56250,146,299,299,57.9,267,0.24,0,0.109,120,0.075,0.138,211,262500,146,
Butte Creek Canyon CDP,16000US0609310,California,Butte,958,46.7,76912,402,958,958,64.3,797,0.364,1,0.226,250,0.1,0,460,438500,402,
Butte Meadows CDP,16000US0609318,California,Butte,41,19.1,-1,41,41,41,-1,41,0,0,0,0,0,0,276,-1,41,
Butte Valley CDP,16000US0609324,California,Butte,736,40.2,-1,348,736,736,51.1,566,0.334,1,0.023,206,0,0.081,382,511400,348,
Buttonwillow CDP,16000US0609332,California,Kern,1443,208.3,38333,378,1443,1443,21.2,665,0.038,0,0,304,0.355,0.13,422,120700,378,
Byron CDP,16000US0609346,California,Contra Costa,1304,200.1,68750,439,1304,1304,40.7,850,0.142,0,0.052,299,0.147,0.106,445,593100,439,
Bystrom CDP,16000US0609353,California,Stanislaus,3759,5328.1,32519,1085,3759,3759,29.3,2026,0.065,0,0.013,695,0.236,0.103,1156,153300,1085,
C-Road CDP,16000US0617267,California,Plumas,140,52.6,-1,51,140,140,29.2,106,0.236,0,0,39,0,0,81,336400,51,
Cabazon CDP,16000US0609360,California,Riverside,2588,529,45089,785,2588,2588,37.2,1728,0.116,0,0,518,0.183,0.035,881,190600,785,
Calabasas city,16000US0609598,California,Los Angeles,23988,1753.3,125814,8764,23988,23988,43.6,16654,0.324,1,0.293,6594,0.042,0.041,9102,1076600,8764,
Calexico city,16000US0609710,California,Imperial,39946,4634.4,43592,8976,39946,39946,31.8,24093,0.136,0,0.042,7170,0.213,0.153,11411,207600,8976,
California City city,16000US0609780,California,Kern,13826,67.9,49022,4222,13826,13826,34.9,9425,0.066,0,0.045,2777,0.183,0.191,4836,124500,4222,
