name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Acalanes Ridge CDP,16000US0600135,California,Contra Costa,1193072,1134,2461.8,-1,410,24,84,104,0,19,47,132,1134,1058,0,0,35,0,0,19,22,1134,59,70,0,50,173,27,110,18,95,137,0,29,164,72,96,34,44.8,773,0,0,0.173,0.525,1,0.301,373,0.064,566,0.065,410,1071200,410,
Acampo CDP,16000US0600156,California,San Joaquin,2428474,204,217.6,143070,88,0,16,0,0,72,0,0,204,184,0,0,0,0,0,0,20,204,0,0,0,28,0,0,0,57,51,0,0,15,0,0,0,53,72.1,153,0,0.373,0.346,0.105,0,0.176,88,0,43,0,88,-1,88,
Acton CDP,16000US0600212,California,Los Angeles,101679344,7232,184.2,97857,2584,292,387,330,331,455,340,449,7232,5383,38,0,170,0,0,131,1510,7232,360,497,252,288,479,860,612,244,296,379,523,245,391,821,666,319,49.2,5366,0.056,0.218,0.453,0.202,0,0.071,1955,0.046,3612,0.051,2845,559600,2584,
Adelanto city,16000US0600296,California,San Bernardino,137024204,33660,636.2,45380,7695,1887,2260,1601,850,725,203,169,33660,3982,5972,8,538,49,28,929,22154,33660,2922,3005,2169,2398,1983,1488,1084,524,3458,3584,2696,2968,2298,1503,1133,447,27.5,18104,0.336,0.284,0.321,0.043,0,0.016,6455,0.249,11935,0.129,8322,195800,7695,
Adin CDP,16000US0600310,California,Modoc,8901691,171,49.8,57625,78,15,19,24,0,20,0,0,171,119,0,39,0,0,0,11,2,171,10,31,0,9,15,4,18,26,0,0,1,0,8,11,17,21,58.1,129,0.016,0.465,0.186,0.163,0,0.171,41,0.195,55,0.2,123,130500,78,
Agoura Hills city,16000US0600394,California,Los Angeles,20203991,20533,2632.2,122998,7377,538,775,780,848,1374,1039,2023,20533,15265,449,0,1772,0,90,790,2167,20533,1118,1303,1039,1231,1551,1889,1190,1189,954,1366,1048,1129,1506,1608,1405,1007,44.4,14583,0.033,0.122,0.249,0.374,1,0.221,5482,0.038,10814,0.046,7779,815000,7377,
Agua Dulce CDP,16000US0600450,California,Los Angeles,59181142,3742,163.8,106875,1118,160,127,153,107,173,152,246,3742,2672,0,103,91,0,0,32,844,3742,227,261,128,257,210,342,230,195,149,225,270,217,178,326,312,215,46.1,2698,0.105,0.188,0.433,0.182,0,0.092,901,0.064,1772,0.042,1228,634500,1118,
Aguanga CDP,16000US0600464,California,Riverside,35222110,805,59.2,77857,300,42,93,13,70,14,0,68,805,606,25,0,0,0,0,48,126,805,24,55,18,77,37,109,18,70,83,62,35,12,34,70,18,83,46.3,563,0.057,0.337,0.417,0.165,0,0.023,268,0.112,396,0,570,-1,300,
Ahwahnee CDP,16000US0600478,California,Madera,25961479,2513,250.7,71336,869,77,137,250,165,111,66,63,2513,2257,0,0,0,0,0,22,234,2513,46,78,135,54,119,256,181,186,173,31,443,30,66,149,255,311,50.7,1951,0.027,0.289,0.43,0.211,0,0.044,635,0.03,1325,0.109,1092,312300,869,
Airport CDP,16000US0600535,California,Stanislaus,1487227,1479,2575.7,29489,486,208,121,49,84,24,0,0,1479,234,18,0,0,0,0,6,1221,1479,82,50,100,127,158,57,29,11,232,94,184,149,74,71,61,0,29.8,905,0.344,0.365,0.248,0.044,0,0,280,0.261,684,0.24,500,166800,486,
Alameda city,16000US0600562,California,Alameda,27062002,78522,7515,104756,30418,3566,3726,3988,3383,5756,4088,5911,78522,33539,5654,204,23491,269,369,4945,10051,78522,4695,3744,4325,6017,6360,5215,5314,4613,4564,3902,5124,6011,5852,4851,4400,3535,40.6,57946,0.09,0.117,0.247,0.341,1,0.206,18998,0.059,42734,0.036,32346,859900,30418,
Alamo CDP,16000US0600618,California,Contra Costa,25053990,14905,1540.8,239545,5156,268,161,326,355,534,594,2918,14905,11949,43,8,1299,10,83,476,1037,14905,574,1080,350,353,1135,1363,1018,1260,726,1343,607,306,1026,1076,1308,1380,49.7,10634,0.013,0.047,0.197,0.467,1,0.275,4310,0.02,6532,0.018,5560,1670500,5156,
Albany city,16000US0600674,California,Alameda,4633477,19804,11069.9,95400,7444,838,1070,944,996,1027,956,1613,19804,8733,580,126,5755,84,359,1194,2973,19804,1275,1305,1220,1597,1578,1258,1090,747,1487,1309,1302,1419,1761,1016,780,660,36.5,13576,0.052,0.074,0.145,0.325,1,0.404,5272,0.067,10481,0.035,7850,882500,7444,
Albion CDP,16000US0600716,California,Mendocino,4701873,254,139.9,-1,55,0,25,0,0,0,30,0,254,115,0,0,44,37,0,25,33,254,0,51,22,0,0,25,0,0,0,43,38,2,3,40,0,30,22.1,104,0.029,0.385,0.298,0,0,0.288,0,0,119,0.109,55,-1,55,
Alderpoint CDP,16000US0600786,California,Humboldt,6288254,156,64.3,38787,59,12,34,0,13,0,0,0,156,112,0,0,0,0,0,13,31,156,0,0,40,0,13,43,0,0,0,0,0,0,13,47,0,0,53.4,156,0.077,0.385,0.538,0,0,0,34,0,13,0,59,337200,59,
Alhambra Valley CDP,16000US0600898,California,Contra Costa,3465844,783,585.1,151125,273,33,0,33,28,38,44,97,783,661,0,0,0,0,0,69,53,783,36,108,36,16,63,81,37,80,18,69,8,32,55,28,52,64,48.1,539,0.013,0.165,0.282,0.299,1,0.241,197,0,412,0.032,273,936500,273,
Alhambra city,16000US0600884,California,Los Angeles,19764227,84647,11092.5,61384,29771,6240,5880,5026,3340,5134,2016,2135,84647,7501,1717,245,43080,211,150,1332,30411,84647,3798,3679,5922,6086,6243,6396,5163,6255,4116,4146,7161,6088,5299,5671,4348,4276,40.9,63207,0.171,0.236,0.238,0.237,0,0.118,20432,0.095,44555,0.043,31719,612700,29771,
Aliso Viejo city,16000US0600947,California,Orange,17921220,50663,7321.9,112689,18515,1519,1777,2021,2445,4356,3002,3395,50663,29812,1167,83,7824,44,152,2392,9189,50663,3672,3364,3041,3800,4270,4160,2351,1799,3386,3217,2985,3636,4183,3798,1962,1039,37.8,34256,0.036,0.104,0.297,0.369,1,0.193,12800,0.028,29873,0.037,19607,632900,18515,
Alleghany CDP,16000US0600982,California,Sierra,904298,78,223.4,-1,47,22,25,0,0,0,0,0,78,78,0,0,0,0,0,0,0,78,0,0,0,0,0,47,0,0,0,0,0,0,0,0,31,0,59.6,78,0,0.718,0.282,0,0,0,25,0,25,0,71,-1,47,
Allendale CDP,16000US0600996,California,Solano,15892906,1388,226.2,121081,496,8,26,70,79,165,81,67,1388,1090,195,0,0,0,0,0,103,1388,96,13,88,26,81,119,180,79,48,98,90,30,49,161,157,73,54.4,1063,0.045,0.25,0.407,0.202,0,0.095,406,0,746,0.04,530,593100,496,
Allensworth CDP,16000US0601010,California,Tulare,8035084,575,185.3,33214,136,50,45,18,17,6,0,0,575,0,15,0,2,0,0,2,556,575,42,41,58,26,42,23,10,7,60,59,54,42,47,23,20,21,25.5,296,0.736,0.145,0.105,0.014,0,0,98,0.398,246,0.211,150,108300,136,
Almanor CDP,16000US0601094,California,Plumas,2287751,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,99,-1,0,
Alondra Park CDP,16000US0601150,California,Los Angeles,2866016,8272,7475.3,61865,2692,516,562,611,258,373,244,128,8272,1597,490,0,1335,79,0,199,4572,8272,448,491,510,502,574,367,397,488,669,607,821,524,633,529,437,275,36.5,5563,0.295,0.177,0.267,0.213,0,0.047,1929,0.129,4432,0.053,2916,584000,2692,
Alpaugh CDP,16000US0601164,California,Tulare,2603083,1145,1139.2,33125,282,119,72,62,15,14,0,0,1145,115,0,42,6,0,0,4,978,1145,124,123,62,93,59,41,24,8,145,104,63,117,62,72,28,20,24.9,570,0.635,0.198,0.167,0,0,0,228,0.355,426,0.235,304,60600,282,
Alpine CDP,16000US0601192,California,San Diego,69374324,14878,555.4,87930,5342,622,977,642,677,1030,694,700,14878,12127,229,28,246,13,0,461,1774,14878,1063,847,792,959,998,1201,972,843,847,921,917,966,882,901,980,789,40.8,10507,0.047,0.183,0.413,0.215,0,0.141,3817,0.07,7636,0.051,5562,606200,5342,
Alpine Village CDP,16000US0601228,California,Alpine,7262262,101,36,58750,41,5,9,11,2,10,0,4,101,101,0,0,0,0,0,0,0,101,4,7,2,2,8,10,4,9,0,19,0,6,9,14,7,0,42.6,71,0,0.268,0.507,0.225,0,0,16,0,56,0,73,375000,41,
Alta CDP,16000US0601276,California,Placer,6173301,566,237.5,99141,233,30,18,37,37,66,13,32,566,493,4,0,22,0,0,10,37,566,20,9,47,13,21,66,57,46,24,19,10,24,25,41,81,63,56.6,454,0.048,0.2,0.474,0.165,0,0.112,189,0.079,268,0.168,312,384100,233,
Alta Sierra CDP,16000US0601360,California,Nevada,21551269,7280,874.9,85758,2860,302,546,460,502,648,152,250,7280,6302,49,0,36,0,0,443,450,7280,432,295,263,335,476,477,680,785,381,509,261,415,399,430,582,560,49.2,5482,0.069,0.16,0.45,0.204,0,0.116,2141,0.014,3431,0.026,3023,395700,2860,
Altadena CDP,16000US0601290,California,Los Angeles,21926773,44850,5297.7,98693,15265,2009,1983,2103,1618,2674,1966,2912,44850,17821,9709,108,2832,59,194,1698,12429,44850,2219,1985,2641,2476,3519,3440,3144,3459,2634,2745,2461,2461,3229,3623,2172,2642,44.3,32859,0.108,0.156,0.283,0.233,0,0.221,11059,0.05,23813,0.056,16556,742800,15265,
Alto CDP,16000US0601416,California,Marin,325685,611,4858.9,185395,232,0,0,29,26,27,50,100,611,534,0,0,15,0,8,0,54,611,0,26,0,48,57,105,0,34,0,93,0,74,67,66,41,0,46.9,492,0,0.051,0.213,0.362,1,0.374,167,0,339,0.056,297,2000001,232,
Alturas city,16000US0601444,California,Modoc,7314016,2567,909,37917,1143,324,345,245,144,70,15,0,2567,1930,81,52,11,0,0,34,459,2567,189,48,190,212,213,196,131,115,231,85,123,166,150,118,178,222,41.3,1913,0.124,0.328,0.456,0.061,0,0.031,498,0.114,1075,0.128,1314,91800,1143,
Alum Rock CDP,16000US0601458,California,Santa Clara,2181369,11551,13714.8,90405,2676,262,327,525,400,499,361,302,11551,1031,138,21,1844,0,0,239,8278,11551,738,751,900,667,774,761,275,612,932,800,1121,745,775,773,499,428,32.9,7355,0.284,0.302,0.253,0.112,0,0.049,2298,0.082,5780,0.062,2730,633800,2676,
Amador City city,16000US0601514,California,Amador,802580,167,538.9,-1,74,10,36,3,10,5,0,10,167,111,0,0,0,0,6,15,35,167,16,17,3,15,6,8,23,0,14,0,7,29,3,6,15,5,39.1,120,0.05,0.267,0.417,0.233,0,0.033,39,0,74,0.135,107,436400,74,
American Canyon city,16000US0601640,California,Napa,15763117,20261,3329,101792,5296,576,681,748,557,1032,786,916,20261,4333,1538,127,7340,119,51,1082,5671,20261,1127,1646,1476,1192,1654,1259,908,911,1273,1629,1374,1058,1491,1535,964,764,37.9,13065,0.157,0.181,0.364,0.223,0,0.075,4458,0.079,10545,0.052,5485,499300,5296,
Amesti CDP,16000US0601651,California,Santa Cruz,7617623,3163,1075.4,81429,822,64,164,153,94,216,55,76,3163,964,0,3,49,13,0,75,2059,3163,274,152,346,230,136,176,149,128,234,218,306,226,124,224,159,81,30.6,1939,0.305,0.211,0.329,0.094,0,0.06,696,0.128,1650,0.109,827,560700,822,
Anaheim city,16000US0602000,California,Orange,130328901,349964,6954.7,71763,101658,15247,19374,17900,14155,18294,8903,7785,349964,84621,8727,575,58028,1304,365,6369,189975,349964,22140,23892,29511,24013,23740,21767,16082,16348,23698,23491,28727,26096,23202,21790,14233,11234,34.5,229566,0.232,0.233,0.28,0.182,0,0.073,75119,0.112,185475,0.052,106708,575600,101658,
Anchor Bay CDP,16000US0602028,California,Mendocino,9097805,352,100.2,69851,181,0,22,122,18,19,0,0,352,317,0,0,0,0,0,0,35,352,0,0,0,0,0,28,123,40,0,0,0,0,0,38,16,107,69.2,352,0,0.134,0.545,0.298,1,0.023,111,0,116,0,362,636600,181,
Anderson city,16000US0602042,California,Shasta,18210797,10407,1480.1,42649,4048,1201,1163,703,512,209,169,91,10407,7772,157,362,357,13,0,369,1377,10407,921,487,795,686,597,468,718,620,793,836,676,678,584,595,496,457,34.7,6825,0.133,0.338,0.402,0.09,0,0.036,2522,0.12,4401,0.048,4269,200200,4048,
Angels city,16000US0602112,California,Calaveras,9407810,3875,1066.8,53622,1842,514,302,385,155,212,193,81,3875,3232,0,63,14,0,0,211,355,3875,192,359,158,39,251,353,351,419,37,51,308,59,214,248,436,400,54.5,2871,0.091,0.188,0.461,0.153,0,0.108,1046,0.121,1576,0.046,2203,365000,1842,
Angwin CDP,16000US0602168,California,Napa,12507052,3179,658.3,72625,735,69,131,177,62,150,58,88,3179,1454,291,0,486,15,32,93,808,3179,121,405,359,142,155,149,137,77,69,256,503,247,160,177,142,80,25.2,1602,0.123,0.128,0.34,0.237,0,0.172,482,0.021,1893,0.048,886,755700,735,
Antelope CDP,16000US0602210,California,Sacramento,17705728,48398,7079.6,80998,14453,1323,2396,2960,2718,3172,1221,663,48398,28620,4350,37,5479,597,155,2090,7070,48398,3995,3544,3314,3668,3364,3299,1930,1467,3741,4266,3418,3420,2640,3185,2042,1105,32.9,29794,0.072,0.303,0.377,0.187,0,0.06,11899,0.093,23997,0.034,14747,325300,14453,
Antioch city,16000US0602252,California,Contra Costa,76015830,111200,3788.8,76601,34028,5101,5909,5778,4695,6716,3267,2562,111200,30883,23431,242,12674,831,297,5940,36902,111200,7019,8528,8189,7063,7928,7951,6207,4821,6747,8277,7607,7557,6505,7618,5530,3653,36,72732,0.137,0.264,0.389,0.148,0,0.061,25990,0.122,55494,0.084,35373,397400,34028,
Anza CDP,16000US0602294,California,Riverside,71470882,3076,111.5,42962,1015,369,232,153,136,61,64,0,3076,2307,0,37,184,44,0,86,418,3076,257,231,84,205,193,94,191,221,69,254,274,131,138,288,299,147,41.5,2140,0.135,0.277,0.402,0.126,0,0.06,645,0.101,1073,0.175,1426,167900,1015,
Apple Valley town,16000US0602364,California,San Bernardino,194057273,72726,970.6,54527,23842,4319,6485,4172,2986,3282,1515,1083,72726,34695,6132,233,1676,78,18,2163,27731,72726,5416,5866,4429,4416,3844,4717,4716,4415,5650,5218,3915,3937,4177,4191,3909,3910,36.7,46320,0.138,0.31,0.373,0.108,0,0.071,18156,0.136,29346,0.105,26044,255000,23842,
Aptos CDP,16000US0602378,California,Santa Cruz,17036259,6387,971,112308,2498,255,276,295,281,463,355,573,6387,5000,34,43,235,0,0,42,1033,6387,211,456,293,389,272,695,517,568,160,350,424,278,223,593,554,404,51.5,4701,0.04,0.065,0.321,0.351,1,0.224,1733,0.036,3710,0.022,2673,828400,2498,
Aptos Hills-Larkin Valley CDP,16000US0602382,California,Santa Cruz,23984334,2251,243.1,112778,828,69,113,87,105,188,94,172,2251,1549,0,0,15,0,0,120,567,2251,0,161,140,0,115,160,266,136,0,168,126,59,211,175,377,157,56.5,1759,0.241,0.109,0.234,0.214,0,0.202,565,0,1096,0.038,888,823800,828,
Arbuckle CDP,16000US0602420,California,Colusa,4556328,3809,2165.2,69893,1031,148,167,251,248,134,27,56,3809,790,0,11,0,0,0,107,2901,3809,302,361,233,280,197,239,142,79,316,331,347,302,214,275,62,129,30.7,2192,0.49,0.17,0.243,0.077,0,0.021,880,0.09,1928,0.06,1085,263500,1031,
Arcadia city,16000US0602462,California,Los Angeles,28294900,58152,5323,93574,19520,2524,2965,2336,2516,3709,2202,3268,58152,12861,1099,67,35736,189,41,1706,6453,58152,2521,4061,2391,3889,4739,4613,4206,4191,3304,4031,3246,3029,3628,3813,3387,3103,43.7,41997,0.075,0.146,0.231,0.341,1,0.208,15589,0.075,27603,0.047,21386,1097600,19520,
Arcata city,16000US0602476,California,Humboldt,24261922,18178,1940.5,35506,7155,2777,1821,844,538,652,337,186,18178,12490,390,266,705,216,44,1007,3060,18178,507,1508,3300,753,710,771,885,596,353,1371,3345,1174,945,551,856,553,26.4,9619,0.078,0.137,0.298,0.303,1,0.183,2474,0.157,10585,0.117,7926,341000,7155,
Arden-Arcade CDP,16000US0602553,California,Sacramento,46020094,102864,5789.1,50501,42503,10713,10368,6107,3970,5481,2773,3091,102864,57817,9977,338,6389,510,180,6812,20841,102864,6584,5996,8261,7524,5617,6717,6612,6308,7190,6260,7091,7379,5839,5639,5329,4518,36.9,70483,0.099,0.235,0.318,0.218,0,0.13,23938,0.168,50072,0.085,44878,367700,42503,
Armona CDP,16000US0602700,California,Kings,4923148,4407,2318.5,48828,1197,227,379,246,203,121,21,0,4407,675,302,23,179,0,0,134,3094,4407,299,491,208,127,349,300,177,76,245,561,516,221,381,139,190,127,27.5,2365,0.317,0.259,0.325,0.06,0,0.039,994,0.176,1694,0.076,1274,151500,1197,
Arnold CDP,16000US0602770,California,Calaveras,38292903,2291,155,57708,1075,130,315,225,110,200,30,65,2291,2133,0,0,32,0,0,23,103,2291,59,55,53,54,71,163,277,302,48,78,65,92,159,182,259,374,61,2005,0.077,0.27,0.385,0.176,0,0.093,611,0.02,872,0.089,4940,293000,1075,
Aromas CDP,16000US0602812,California,Monterey; San Benito,,12263941,2479,523.5,109413,817,50,89,151,31,245,124,127,2479,1546,0,0,29,0,0,31,873,2479,92,165,138,115,98,196,211,140,206,62,310,94,108,210,239,95,43.2,1766,0.084,0.177,0.436,1,0.243,0.061,673,0.051,1386,0.033,826,641100,144
Arroyo Grande city,16000US0602868,California,San Luis Obispo,15377397,18033,3037.3,80833,7026,991,1081,1160,874,1412,992,516,18033,13799,172,149,765,71,13,498,2566,18033,1010,912,903,1165,1016,1496,1360,1520,810,1202,1102,912,1172,1153,1267,1033,44.6,12974,0.057,0.248,0.353,0.213,0,0.128,4760,0.037,8859,0.021,7735,591800,7026,
Artesia city,16000US0602896,California,Los Angeles,4197593,16758,10340,67647,4460,572,1018,957,641,695,359,218,16758,2544,850,54,6040,50,68,458,6694,16758,948,885,1275,1683,983,1090,969,1057,661,1104,1140,1346,953,1021,882,761,38.3,12174,0.205,0.243,0.272,0.209,0,0.072,3692,0.057,8242,0.054,4691,542200,4460,
Artois CDP,16000US0602910,California,Glenn,7458262,311,108,43452,108,27,58,0,9,5,6,3,311,311,0,0,0,0,0,0,0,311,14,36,5,10,15,3,54,11,8,57,0,21,14,4,53,6,40.4,191,0.251,0.304,0.419,0.026,0,0,80,0,88,0.034,108,172400,108,
Arvin city,16000US0602924,California,Kern,12482062,21249,4409.1,38464,4864,1306,1899,745,511,337,53,13,21249,918,89,7,140,0,0,30,20065,21249,2174,2042,1846,1439,1174,905,558,381,2445,1929,1850,1344,1249,982,587,344,25.3,10730,0.63,0.209,0.142,0.015,0,0.004,4453,0.294,8690,0.095,5130,166900,4864,
Ashland CDP,16000US0602980,California,Alameda,4759454,24430,13294.3,63406,7695,1397,1628,1343,1266,1306,356,399,24430,2777,3393,72,5866,113,276,853,11080,24430,1543,1708,1828,2363,1935,1499,1290,881,1760,1473,1849,2130,1600,1267,739,565,34.2,16310,0.243,0.268,0.288,0.169,0,0.032,5417,0.113,13099,0.073,8011,498500,7695,
Aspen Springs CDP,16000US0603026,California,Mono,9242504,23,6.4,-1,8,0,0,0,0,0,8,0,23,23,0,0,0,0,0,0,0,23,0,0,0,0,0,8,0,0,0,0,0,0,0,0,15,0,-1,23,0,0,1,0,0,0,8,0,23,0,8,-1,8,
Atascadero city,16000US0603064,California,San Luis Obispo,67506132,30130,1156,79658,11621,1170,2214,2226,1928,2032,1181,870,30130,22749,236,82,524,12,53,930,5544,30130,1850,1687,2056,2210,1430,2175,1809,1693,1956,1567,1681,3167,1311,1950,2248,1340,37.7,21260,0.05,0.237,0.395,0.217,0,0.1,7899,0.055,15925,0.031,12033,493200,11621,
Atherton town,16000US0603092,California,San Mateo,13028900,7168,1424.9,250001,2215,139,128,41,96,194,200,1417,7168,4966,57,0,1483,24,10,313,315,7168,261,644,245,174,575,554,583,576,358,672,382,163,442,558,511,470,47.4,4808,0.017,0.043,0.12,0.319,1,0.5,1828,0.02,3092,0.048,2471,2000001,2215,
Atwater city,16000US0603162,California,Merced,15778883,29296,4808.7,55674,9161,1962,2291,1674,1218,1320,461,235,29296,9521,1116,100,1312,43,10,628,16566,29296,2203,2265,2117,2153,2036,1536,1077,1453,2642,2324,2373,1599,2042,1616,909,951,31.6,17707,0.268,0.246,0.346,0.104,0,0.036,7085,0.185,13609,0.112,9577,229400,9161,
Auberry CDP,16000US0603190,California,Fresno,49587111,2009,104.9,64390,837,165,183,206,71,116,85,11,2009,1614,16,0,25,0,0,46,308,2009,154,118,32,105,126,118,235,164,116,69,24,155,95,114,218,166,50.4,1542,0.108,0.193,0.497,0.132,0,0.069,511,0.055,847,0.038,859,295500,837,
Auburn Lake Trails CDP,16000US0603205,California,El Dorado,32963739,3664,287.9,100541,1454,116,94,171,338,488,122,125,3664,3460,0,0,15,0,0,93,96,3664,177,257,214,112,123,356,407,264,190,131,81,176,213,399,292,272,51.6,2842,0.023,0.22,0.433,0.16,0,0.164,1013,0.016,1648,0.03,1502,392300,1454,
Auburn city,16000US0603204,California,Placer,18588548,14011,1952.2,66314,6152,1421,1060,990,706,990,545,440,14011,11683,58,42,203,56,54,475,1440,14011,569,702,551,754,964,1162,1253,1268,798,781,747,669,771,1023,1146,853,48.5,10490,0.066,0.158,0.4,0.234,0,0.142,3612,0.099,6670,0.058,6497,447600,6152,
August CDP,16000US0603209,California,San Joaquin,3252575,8405,6692.8,34611,2190,740,894,347,54,124,6,25,8405,1512,494,0,284,23,0,95,5997,8405,688,625,603,524,446,418,210,191,1270,688,698,907,373,433,198,133,26.1,4311,0.422,0.353,0.204,0.021,0,0,1748,0.291,3371,0.161,2391,164900,2190,
Avalon city,16000US0603274,California,Los Angeles,7468050,3731,1293.9,74769,1487,252,327,167,238,358,36,109,3731,1615,4,0,2,1,0,49,2060,3731,184,388,41,238,243,286,320,144,49,466,201,165,217,353,253,183,42.1,2595,0.135,0.25,0.388,0.136,0,0.092,1032,0.122,2158,0,2256,628600,1487,
Avenal city,16000US0603302,California,Kings,50469317,12961,665.1,41114,2489,692,752,583,227,197,38,0,12961,1274,418,54,22,11,2,70,11110,12961,1190,828,874,602,701,200,333,167,1116,1349,1285,1374,1253,1039,497,153,29.1,7562,0.544,0.234,0.19,0.02,0,0.012,2131,0.338,3861,0.125,2657,152500,2489,
Avery CDP,16000US0603316,California,Calaveras,11656949,561,124.6,74861,212,19,32,56,20,49,29,7,561,530,0,0,0,0,0,0,31,561,112,0,26,66,9,19,11,115,0,9,5,59,15,0,53,62,44.2,440,0,0.318,0.43,0.107,0,0.145,135,0,268,0.06,389,247600,212,
Avila Beach CDP,16000US0603330,California,San Luis Obispo,15766061,1311,215.4,80281,731,46,229,86,52,116,82,120,1311,1193,0,0,60,0,0,0,58,1311,25,0,10,23,80,29,117,340,33,34,62,69,38,179,196,76,63.7,1203,0.012,0.309,0.35,0.144,0,0.185,391,0.036,667,0.013,982,1034500,731,
Avocado Heights CDP,16000US0603344,California,Los Angeles,7007487,15426,5701.5,75142,3921,421,719,818,411,1021,361,170,15426,1044,81,0,2084,0,55,20,12142,15426,854,978,1214,1147,930,914,892,979,870,923,1048,1110,1017,1036,737,777,38.6,10653,0.272,0.262,0.3,0.127,0,0.039,3482,0.073,7646,0.081,4070,478800,3921,
Azusa city,16000US0603386,California,Los Angeles,25037029,49753,5146.8,68216,12811,1832,2632,2628,1756,2522,844,597,49753,9488,1601,83,6166,57,58,921,31379,49753,2897,3854,5953,3326,2962,2845,2188,2050,3181,3400,5734,2883,2820,2752,1674,1234,29.8,29119,0.197,0.267,0.296,0.164,0,0.076,9707,0.11,26280,0.062,13800,418800,12811,
Baker CDP,16000US0603512,California,San Bernardino,6961528,541,201.3,27308,188,82,41,37,21,0,0,7,541,101,0,0,22,0,0,2,416,541,94,37,46,37,31,18,21,0,10,50,47,34,43,20,47,6,29.2,309,0.256,0.518,0.217,0.01,0,0,128,0.258,312,0.058,218,-1,188,
Bakersfield city,16000US0603526,California,Kern,387871106,377917,2523.5,63139,117050,21250,25528,21049,14869,18667,8737,6950,377917,122899,27336,956,27545,707,649,8051,189774,377917,30585,29416,30419,27351,22205,20662,16654,13863,32171,30885,30489,27548,21766,18532,15392,9979,30.8,226243,0.199,0.259,0.323,0.143,0,0.076,87755,0.138,176286,0.084,124478,247000,117050,
Baldwin Park city,16000US0603666,California,Los Angeles,17174856,75892,11444.6,65904,17988,3142,3723,3624,2888,2949,1035,627,75892,2979,1007,141,14563,362,139,177,56524,75892,4843,5076,6174,4764,4964,4583,4074,3152,4693,5516,6326,5560,5230,4821,3476,2640,35,49886,0.336,0.299,0.234,0.11,0,0.022,15368,0.11,38506,0.058,18795,408600,17988,
Ballard CDP,16000US0603694,California,Santa Barbara,3056035,529,448.3,124375,169,16,18,7,21,53,5,49,529,419,0,0,4,0,0,0,106,529,26,18,53,14,19,41,77,19,14,19,68,33,12,22,79,15,48.6,403,0.094,0.166,0.444,0.154,0,0.141,140,0.043,306,0,187,914800,169,
Ballico CDP,16000US0603708,California,Merced,7828206,538,178,62500,182,57,4,43,2,47,15,14,538,252,0,11,50,0,0,0,225,538,15,45,19,21,51,49,11,13,29,39,83,47,66,29,18,3,32.7,346,0.211,0.347,0.355,0.087,0,0,130,0.169,306,0.137,182,236700,182,
Bangor CDP,16000US0603792,California,Butte,34765044,429,32,61875,162,21,39,38,3,11,34,16,429,382,0,15,0,0,7,6,19,429,8,4,4,12,2,81,42,39,8,33,18,12,16,47,85,18,58.3,376,0.194,0.16,0.463,0.061,0,0.122,142,0.028,157,0,224,331100,162,
Banning city,16000US0603820,California,Riverside,60266170,31072,1335.3,42274,10991,2851,3561,1856,1125,1082,283,233,31072,11181,2416,815,1402,5,240,408,14605,31072,2093,1940,1951,1600,1635,1699,1788,3698,1785,1861,2393,1308,1598,1396,1407,2920,41.5,21354,0.209,0.311,0.327,0.093,0,0.06,6993,0.148,11051,0.091,11809,234900,10991,
Barstow city,16000US0604030,California,San Bernardino,106902302,23899,579,40633,8312,2728,2224,1479,1030,500,160,191,23899,6036,4220,312,535,327,89,1414,10966,23899,2189,2085,2109,1742,1008,1890,950,1213,2165,1864,1492,1271,958,1214,1023,726,30.1,13969,0.218,0.302,0.388,0.058,0,0.034,5396,0.286,8945,0.092,9455,117100,8312,
Bass Lake CDP,16000US0604198,California,Madera,4874800,449,238.6,96833,204,10,40,15,45,70,0,24,449,404,0,14,0,0,0,31,0,449,11,11,36,0,20,0,95,78,12,8,15,12,0,15,71,65,62.3,370,0,0.241,0.378,0.159,0,0.222,140,0,195,0,924,673300,204,
