name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Colma town,16000US0614736,California,San Mateo,4929224,1302,684.1,95357,470,67,47,64,77,79,71,65,1302,327,40,0,361,0,11,45,518,1302,60,62,127,58,97,82,72,91,50,117,90,95,61,110,82,48,38.8,906,0.134,0.256,0.342,0.205,0,0.063,323,0.084,777,0.01,485,773100,470,
Coloma CDP,16000US0614764,California,El Dorado,8689797,427,127.3,125521,205,0,0,58,42,12,76,17,427,414,2,0,0,0,0,9,2,427,0,22,2,0,30,137,9,12,0,2,7,22,0,91,81,12,56.6,397,0.005,0.227,0.607,0.05,0,0.111,168,0,272,0,254,454000,205,
Colton city,16000US0614890,California,San Bernardino,40252531,54580,3511.9,53838,16689,3147,4505,3351,2558,2095,665,368,54580,9749,3883,166,2847,18,280,558,37079,54580,4348,4113,4986,4690,3066,3239,2291,2185,4096,3861,4583,4024,2957,2773,1914,1454,31.4,33665,0.236,0.275,0.316,0.121,0,0.052,12838,0.123,25190,0.071,18778,257500,16689,
Columbia CDP,16000US0614904,California,Tuolumne,15439974,2226,373.4,38679,1056,362,316,72,111,138,43,14,2226,1982,0,7,8,0,0,63,166,2226,93,191,96,95,83,100,170,252,57,198,171,66,112,103,146,293,45.4,1592,0.083,0.313,0.466,0.086,0,0.052,580,0.121,824,0.076,1198,318100,1056,
Colusa city,16000US0614946,California,Colusa,8868062,6106,1783.3,51364,2296,570,554,492,311,223,75,71,6106,2347,150,27,55,4,0,189,3334,6106,406,375,368,411,253,480,285,318,577,316,565,384,366,412,353,237,36.4,3927,0.206,0.242,0.379,0.126,0,0.046,1573,0.088,2958,0.028,2473,255900,2296,
Commerce city,16000US0614974,California,Los Angeles,16933488,12830,1962.4,47518,3537,787,1049,518,383,601,105,94,12830,184,195,109,54,17,15,65,12191,12830,757,927,1102,837,825,836,612,683,765,921,1069,793,759,763,598,583,35.5,8534,0.413,0.221,0.251,0.09,0,0.024,2699,0.124,5997,0.061,3667,411200,3537,
Comptche CDP,16000US0615030,California,Mendocino,2987584,99,85.8,37788,37,0,30,7,0,0,0,0,99,90,0,0,0,0,0,0,9,99,0,0,8,0,0,18,0,13,18,0,9,9,0,0,9,15,52.8,81,0.111,0.086,0.802,0,0,0,28,0,66,0.136,63,-1,37,
Compton city,16000US0615044,California,Los Angeles,25973635,96803,9652.8,52883,23742,5379,5819,5044,3170,3015,812,503,96803,1176,27490,32,692,296,499,832,65786,96803,7605,7644,7427,6404,6779,5871,3740,4066,7611,8454,7925,6211,6051,5415,3419,2181,31.2,57526,0.378,0.288,0.247,0.062,0,0.024,19683,0.181,43762,0.094,24590,355200,23742,
Concord city,16000US0616000,California,Contra Costa,79139304,129183,4227.8,89564,46455,5532,7195,6862,6533,9914,5081,5338,129183,62748,4126,159,16053,730,256,6448,38663,129183,8007,6357,8358,9234,8036,9484,8171,7389,8209,6774,9462,10191,8411,9150,6286,5664,38.9,92086,0.112,0.188,0.336,0.251,1,0.114,31691,0.066,70556,0.05,48096,551300,46455,
Concow CDP,16000US0616035,California,Butte,70981498,553,20.2,31250,232,87,67,34,11,33,0,0,553,344,0,24,0,6,0,83,96,553,34,21,7,40,29,33,86,29,27,46,12,19,58,48,25,39,47.8,413,0.041,0.274,0.438,0.167,0,0.08,135,0.133,194,0.268,299,190900,232,
